velocity,applied_voltage,current,power,position,xref,vref,aref,targetPos,time
-0.000,4.653,0.003,0.388,0.000,93.062,0.000,0.000,93.062,1.078
-0.000,4.653,0.867,0.388,2.000,93.062,0.000,0.000,93.062,1.096
80.000,4.483,1.075,0.374,7.000,93.062,0.000,0.000,93.062,1.120
200.000,4.093,1.643,0.341,10.000,93.062,0.000,0.000,93.062,1.137
200.000,3.903,1.359,0.325,15.000,93.062,0.000,0.000,93.062,1.161
220.000,3.603,0.940,0.300,24.000,93.062,0.000,0.000,93.062,1.187
300.000,3.143,0.863,0.262,30.000,93.062,0.000,0.000,93.062,1.206
360.000,2.663,0.765,0.222,39.000,93.062,0.000,0.000,93.062,1.230
360.000,2.263,0.441,0.189,49.000,93.062,0.000,0.000,93.062,1.256
360.000,1.813,0.240,0.151,54.000,93.062,0.000,0.000,93.062,1.274
340.000,1.563,0.207,0.130,59.000,93.062,0.000,0.000,93.062,1.290
340.000,1.263,0.076,0.105,65.000,93.062,0.000,0.000,93.062,1.308
300.000,1.013,0.043,0.084,69.000,93.062,0.000,0.000,93.062,1.325
280.000,0.903,0.036,0.075,73.000,93.062,0.000,0.000,93.062,1.344
200.000,0.763,0.007,0.064,77.000,93.062,0.000,0.000,93.062,1.368
180.000,0.603,0.003,0.050,79.000,93.062,0.000,0.000,93.062,1.385
160.000,0.493,0.010,0.041,82.000,93.062,0.000,0.000,93.062,1.405
140.000,0.343,0.014,0.029,84.000,93.062,0.000,0.000,93.062,1.424
120.000,0.283,0.010,0.024,86.000,93.062,0.000,0.000,93.062,1.445
100.000,0.253,0.010,0.021,88.000,93.062,0.000,0.000,93.062,1.465
80.000,0.173,0.010,0.014,89.000,93.062,0.000,0.000,93.062,1.483
60.000,0.123,0.025,0.010,89.000,93.062,0.000,0.000,93.062,1.506
40.000,0.163,0.047,0.014,89.000,93.062,0.000,0.000,93.062,1.525
-0.000,0.183,0.054,0.015,89.000,93.062,0.000,0.000,93.062,1.544
-0.000,0.203,0.123,0.017,89.000,93.062,0.000,0.000,93.062,1.560
-0.000,0.203,0.156,0.017,90.000,93.062,0.000,0.000,93.062,1.575
20.000,0.133,0.174,0.011,90.000,93.062,0.000,0.000,93.062,1.595
20.000,0.133,0.178,0.011,90.000,93.062,0.000,0.000,93.062,1.611
20.000,0.133,0.185,0.011,90.000,93.062,0.000,0.000,93.062,1.627
-0.000,0.153,0.185,0.013,90.000,93.062,0.000,0.000,93.062,1.644
-0.000,0.153,0.266,0.013,90.000,93.062,0.000,0.000,93.062,1.660
-0.000,0.153,0.295,0.013,90.000,93.062,0.000,0.000,93.062,1.680
-0.000,0.153,0.309,0.013,90.000,93.062,0.000,0.000,93.062,1.700
-0.000,0.153,0.320,0.013,90.000,93.062,0.000,0.000,93.062,1.716
-0.000,0.153,0.324,0.013,90.000,93.062,0.000,0.000,93.062,1.734
-0.000,0.153,0.324,0.013,90.000,93.062,0.000,0.000,93.062,1.750
-0.000,0.153,0.324,0.013,90.000,93.062,0.000,0.000,93.062,1.767
-0.000,0.153,0.324,0.013,90.000,93.062,0.000,0.000,93.062,1.788
-0.000,0.153,0.324,0.013,90.000,93.062,0.000,0.000,93.062,1.804
-0.000,0.153,0.320,0.013,90.000,93.062,0.000,0.000,93.062,1.821
-0.000,0.153,0.320,0.013,90.000,93.062,0.000,0.000,93.062,1.836
-0.000,0.153,0.324,0.013,90.000,93.062,0.000,0.000,93.062,1.853
-0.000,0.153,0.317,0.013,90.000,93.062,0.000,0.000,93.062,1.869
-0.000,0.153,0.317,0.013,90.000,93.062,0.000,0.000,93.062,1.885
-0.000,0.153,0.324,0.013,90.000,93.062,0.000,0.000,93.062,1.899
-0.000,0.153,0.331,0.013,90.000,93.062,0.000,0.000,93.062,1.915
-0.000,0.153,0.331,0.013,90.000,93.062,0.000,0.000,93.062,1.934
-0.000,0.153,0.331,0.013,90.000,93.062,0.000,0.000,93.062,1.949
-0.000,0.153,0.331,0.013,90.000,93.062,0.000,0.000,93.062,1.972
-0.000,0.153,0.335,0.013,90.000,93.062,0.000,0.000,93.062,1.989
-0.000,0.153,0.328,0.013,90.000,93.062,0.000,0.000,93.062,2.007
-0.000,0.153,0.331,0.013,90.000,93.062,0.000,0.000,93.062,2.025
-0.000,-0.874,0.338,-0.073,90.000,92.749,-17.686,-1000.000,-93.062,2.042
-0.000,-1.028,0.134,-0.086,90.000,92.052,-36.678,-1000.000,-93.062,2.061
-0.000,-1.177,0.083,-0.098,90.000,91.173,-53.211,-1000.000,-93.062,2.080
-0.000,-1.365,0.127,-0.114,90.000,89.800,-72.222,-1000.000,-93.062,2.098
-0.000,-1.566,0.164,-0.130,90.000,88.120,-90.729,-1000.000,-93.062,2.118
-0.000,-1.777,0.174,-0.148,90.000,86.163,-108.733,-1000.000,-93.062,2.135
-0.000,-2.041,0.357,-0.170,89.000,83.491,-129.386,-1000.000,-93.062,2.155
-40.000,-2.145,0.433,-0.179,87.000,81.077,-145.925,-1000.000,-93.062,2.171
-80.000,-2.345,0.554,-0.195,86.000,77.781,-165.802,-1000.000,-93.062,2.187
-80.000,-2.522,0.820,-0.210,84.000,74.866,-181.834,-1000.000,-93.062,2.209
-80.000,-2.683,0.820,-0.224,82.000,71.676,-197.951,-1000.000,-93.062,2.229
-120.000,-3.027,0.867,-0.252,79.000,65.998,-223.369,-1000.000,-93.062,2.248
-140.000,-3.068,0.962,-0.256,76.000,62.058,-239.800,-1000.000,-93.062,2.266
-180.000,-3.296,0.951,-0.275,72.000,56.964,-259.437,-1000.000,-93.062,2.282
-220.000,-3.384,1.060,-0.282,67.000,52.190,-276.688,-1000.000,-93.062,2.303
-280.000,-3.380,1.151,-0.282,60.000,47.486,-292.759,-1000.000,-93.062,2.323
-320.000,-3.498,1.067,-0.292,52.000,40.947,-313.608,-1000.000,-93.062,2.345
-340.000,-3.447,0.984,-0.287,42.000,34.283,-333.586,-1000.000,-93.062,2.369
-400.000,-3.494,0.871,-0.291,33.000,26.355,-355.863,-1000.000,-93.062,2.387
-440.000,-3.594,0.838,-0.300,26.000,17.496,-379.224,-1000.000,-93.062,2.403
-460.000,-3.628,0.776,-0.302,18.000,10.000,-398.057,-1000.000,-93.062,2.418
-500.000,-3.670,0.721,-0.306,9.000,3.532,-413.690,-1000.000,-93.062,2.435
-500.000,-3.660,0.703,-0.305,-1.000,-3.120,-429.190,-1000.000,-93.062,2.453
-540.000,-2.378,0.637,-0.198,-13.000,-9.986,-412.547,1000.000,-93.062,2.475
-540.000,-2.026,0.630,-0.169,-23.000,-17.264,-394.079,1000.000,-93.062,2.495
-520.000,-1.725,0.273,-0.144,-31.000,-25.398,-372.224,1000.000,-93.062,2.512
-520.000,-1.567,0.182,-0.131,-39.000,-32.300,-352.654,1000.000,-93.062,2.530
-460.000,-1.383,0.145,-0.115,-48.000,-37.939,-335.866,1000.000,-93.062,2.550
-460.000,-1.132,0.123,-0.094,-61.000,-43.868,-317.172,1000.000,-93.062,2.577
-460.000,-0.666,0.127,-0.056,-68.000,-49.578,-298.012,1000.000,-93.062,2.593
-460.000,-0.493,0.098,-0.041,-76.000,-56.931,-270.866,1000.000,-93.062,2.612
-420.000,-0.290,0.094,-0.024,-83.000,-61.185,-254.123,1000.000,-93.062,2.630
-380.000,-0.060,0.069,-0.005,-89.000,-65.478,-235.926,1000.000,-93.062,2.649
-360.000,0.133,0.051,0.011,-97.000,-69.620,-216.826,1000.000,-93.062,2.673
-320.000,0.428,0.051,0.036,-102.000,-73.151,-199.091,1000.000,-93.062,2.692
-260.000,-0.779,0.346,-0.065,-105.000,-78.748,-224.072,-1000.000,-93.062,2.708
-200.000,0.238,0.360,0.020,-109.000,-82.537,-205.649,1000.000,-93.062,2.731
-140.000,0.257,0.251,0.021,-111.000,-85.559,-189.720,1000.000,-93.062,2.749
-120.000,0.270,0.123,0.023,-113.000,-89.357,-166.976,1000.000,-93.062,2.769
-120.000,0.329,0.058,0.027,-113.000,-92.162,-148.025,1000.000,-93.062,2.785
-60.000,1.077,0.036,0.090,-113.000,-93.062,0.000,0.000,-93.062,2.801
-20.000,1.037,0.025,0.086,-113.000,-93.062,0.000,0.000,-93.062,2.819
-0.000,0.997,0.014,0.083,-113.000,-93.062,0.000,0.000,-93.062,2.838
-0.000,0.997,0.061,0.083,-113.000,-93.062,0.000,0.000,-93.062,2.852
-0.000,0.997,0.105,0.083,-113.000,-93.062,0.000,0.000,-93.062,2.869
-0.000,0.997,0.116,0.083,-113.000,-93.062,0.000,0.000,-93.062,2.884
-0.000,0.997,0.167,0.083,-113.000,-93.062,0.000,0.000,-93.062,2.898
-0.000,0.997,0.167,0.083,-113.000,-93.062,0.000,0.000,-93.062,2.918
20.000,0.947,0.167,0.079,-112.000,-93.062,0.000,0.000,-93.062,2.934
20.000,0.927,0.215,0.077,-111.000,-93.062,0.000,0.000,-93.062,2.959
40.000,0.857,0.196,0.071,-111.000,-93.062,0.000,0.000,-93.062,2.976
40.000,0.877,0.240,0.073,-110.000,-93.062,0.000,0.000,-93.062,3.004
40.000,0.827,0.229,0.069,-109.000,-93.062,0.000,0.000,-93.062,3.023
60.000,0.757,0.236,0.063,-108.000,-93.062,0.000,0.000,-93.062,3.039
40.000,0.687,0.211,0.057,-108.000,-93.062,0.000,0.000,-93.062,3.057
40.000,0.727,0.171,0.061,-107.000,-93.062,0.000,0.000,-93.062,3.081
40.000,0.677,0.171,0.056,-106.000,-93.062,0.000,0.000,-93.062,3.104
60.000,0.607,0.207,0.051,-105.000,-93.062,0.000,0.000,-93.062,3.122
40.000,0.557,0.262,0.046,-105.000,-93.062,0.000,0.000,-93.062,3.140
40.000,0.577,0.236,0.048,-104.000,-93.062,0.000,0.000,-93.062,3.158
20.000,0.507,0.229,0.042,-104.000,-93.062,0.000,0.000,-93.062,3.174
20.000,0.527,0.204,0.044,-103.000,-93.062,0.000,0.000,-93.062,3.191
20.000,0.457,0.233,0.038,-103.000,-93.062,0.000,0.000,-93.062,3.208
20.000,0.477,0.266,0.040,-103.000,-93.062,0.000,0.000,-93.062,3.223
20.000,0.477,0.335,0.040,-102.000,-93.062,0.000,0.000,-93.062,3.253
40.000,0.427,0.324,0.036,-101.000,-93.062,0.000,0.000,-93.062,3.270
40.000,0.357,0.349,0.030,-101.000,-93.062,0.000,0.000,-93.062,3.290
40.000,0.307,0.244,0.026,-100.000,-93.062,0.000,0.000,-93.062,3.308
20.000,0.307,0.222,0.026,-99.000,-93.062,0.000,0.000,-93.062,3.324
20.000,0.257,0.215,0.021,-99.000,-93.062,0.000,0.000,-93.062,3.350
20.000,0.277,0.233,0.023,-99.000,-93.062,0.000,0.000,-93.062,3.366
-0.000,0.297,0.218,0.025,-99.000,-93.062,0.000,0.000,-93.062,3.390
-0.000,0.297,0.284,0.025,-99.000,-93.062,0.000,0.000,-93.062,3.405
20.000,0.297,0.247,0.025,-98.000,-93.062,0.000,0.000,-93.062,3.419
40.000,0.157,0.204,0.013,-96.000,-93.062,0.000,0.000,-93.062,3.442
60.000,0.087,0.164,0.007,-96.000,-93.062,0.000,0.000,-93.062,3.458
40.000,0.087,0.164,0.007,-96.000,-93.062,0.000,0.000,-93.062,3.476
20.000,0.127,0.149,0.011,-95.000,-93.062,0.000,0.000,-93.062,3.492
20.000,0.077,0.149,0.006,-95.000,-93.062,0.000,0.000,-93.062,3.515
40.000,0.027,0.171,0.002,-94.000,-93.062,0.000,0.000,-93.062,3.533
20.000,0.007,0.156,0.001,-94.000,-93.062,0.000,0.000,-93.062,3.549
20.000,0.027,0.153,0.002,-94.000,-93.062,0.000,0.000,-93.062,3.567
-0.000,0.047,0.153,0.004,-94.000,-93.062,0.000,0.000,-93.062,3.587
-0.000,0.047,0.185,0.004,-94.000,-93.062,0.000,0.000,-93.062,3.602
-0.000,0.047,0.182,0.004,-94.000,-93.062,0.000,0.000,-93.062,3.622
-0.000,0.047,0.193,0.004,-94.000,-93.062,0.000,0.000,-93.062,3.638
-0.000,0.047,0.196,0.004,-94.000,-93.062,0.000,0.000,-93.062,3.653
-0.000,0.047,0.196,0.004,-94.000,-93.062,0.000,0.000,-93.062,3.671
-0.000,0.047,0.200,0.004,-94.000,-93.062,0.000,0.000,-93.062,3.686
-0.000,0.047,0.204,0.004,-94.000,-93.062,0.000,0.000,-93.062,3.706
-0.000,0.047,0.211,0.004,-94.000,-93.062,0.000,0.000,-93.062,3.721
-0.000,0.047,0.204,0.004,-94.000,-93.062,0.000,0.000,-93.062,3.735
-0.000,0.047,0.207,0.004,-94.000,-93.062,0.000,0.000,-93.062,3.749
-0.000,0.047,0.207,0.004,-94.000,-93.062,0.000,0.000,-93.062,3.774
-0.000,0.047,0.207,0.004,-94.000,-93.062,0.000,0.000,-93.062,3.791
-0.000,0.047,0.207,0.004,-94.000,-93.062,0.000,0.000,-93.062,3.809
-0.000,0.047,0.211,0.004,-94.000,-93.062,0.000,0.000,-93.062,3.824
-0.000,0.047,0.211,0.004,-94.000,-93.062,0.000,0.000,-93.062,3.838
-0.000,0.047,0.211,0.004,-94.000,-93.062,0.000,0.000,-93.062,3.854
-0.000,0.047,0.211,0.004,-94.000,-93.062,0.000,0.000,-93.062,3.870
-0.000,0.047,0.207,0.004,-94.000,-93.062,0.000,0.000,-93.062,3.885
-0.000,0.047,0.204,0.004,-94.000,-93.062,0.000,0.000,-93.062,3.908
-0.000,0.047,0.204,0.004,-94.000,-93.062,0.000,0.000,-93.062,3.922
-0.000,0.047,0.207,0.004,-94.000,-93.062,0.000,0.000,-93.062,3.937
