isUsingController,shooter_velocity,shooter_power,time,intake_current,shooter_current,shooter2_current,battery_voltage,shooter_target
true,0.00,0.00,40.57,0.00,0.00,0.00,12.51,0.000000
true,0.00,0.00,40.61,0.00,0.00,0.00,12.51,0.000000
true,0.00,0.00,40.65,0.00,0.00,0.00,12.50,0.000000
true,0.00,0.00,40.69,0.00,0.00,0.00,12.50,0.000000
true,0.00,0.00,40.72,0.00,0.00,0.00,12.51,0.000000
true,0.00,0.00,40.76,0.00,0.00,0.00,12.51,0.000000
true,0.00,0.00,40.81,0.00,0.00,0.00,12.50,0.000000
true,0.00,0.00,40.86,0.00,0.00,0.00,12.51,0.000000
true,0.00,0.00,40.89,0.00,0.00,0.00,12.52,0.000000
true,0.00,0.00,40.93,0.00,0.00,0.00,12.52,0.000000
true,0.00,0.00,40.97,0.00,0.00,0.00,12.52,0.000000
true,0.00,0.00,41.01,0.00,0.00,0.00,12.52,0.000000
true,20.00,1.00,41.06,0.00,4.36,4.72,10.57,2000.000000
true,60.00,1.00,41.09,0.00,6.57,9.59,10.34,2000.000000
true,80.00,1.00,41.13,0.00,8.32,9.22,10.23,2000.000000
true,140.00,1.00,41.17,0.00,8.61,9.33,10.12,2000.000000
true,220.00,1.00,41.20,0.00,8.52,8.92,10.04,2000.000000
true,220.00,1.00,41.24,0.00,8.28,8.56,10.17,2000.000000
true,300.00,1.00,41.27,0.00,7.80,8.61,10.29,2000.000000
true,360.00,1.00,41.31,0.00,7.90,8.15,10.25,2000.000000
true,380.00,1.00,41.35,0.00,7.46,8.20,10.34,2000.000000
true,460.00,1.00,41.39,0.00,7.57,8.00,10.34,2000.000000
true,480.00,1.00,41.43,0.00,7.36,7.87,10.37,2000.000000
true,540.00,1.00,41.46,0.00,7.27,7.65,10.44,2000.000000
true,600.00,1.00,41.51,0.00,6.93,7.43,10.47,2000.000000
true,640.00,1.00,41.55,0.00,6.74,7.19,10.57,2000.000000
true,700.00,1.00,41.60,0.00,6.57,7.03,10.62,2000.000000
true,740.00,1.00,41.64,0.00,6.56,6.86,10.60,2000.000000
true,780.00,1.00,41.67,0.00,6.51,6.70,10.61,2000.000000
true,820.00,1.00,41.71,0.00,6.26,6.57,10.68,2000.000000
true,860.00,1.00,41.76,0.00,6.22,6.43,10.67,2000.000000
true,880.00,1.00,41.81,0.00,6.07,6.24,10.76,2000.000000
true,960.00,1.00,41.85,0.00,5.92,6.07,10.80,2000.000000
true,980.00,1.00,41.90,0.00,5.74,5.95,10.84,2000.000000
true,1020.00,1.00,41.94,0.00,5.41,5.85,10.95,2000.000000
true,1080.00,1.00,41.99,0.00,5.48,5.70,10.91,2000.000000
true,1100.00,1.00,42.03,0.00,5.38,5.57,10.93,2000.000000
true,1120.00,1.00,42.08,0.00,5.26,5.42,10.96,2000.000000
true,1180.00,1.00,42.13,0.00,5.03,5.30,11.01,2000.000000
true,1200.00,1.00,42.18,0.00,5.02,5.12,11.01,2000.000000
true,1240.00,1.00,42.23,0.00,4.93,5.10,11.05,2000.000000
true,1280.00,1.00,42.26,0.00,4.83,4.95,11.09,2000.000000
true,1300.00,1.00,42.30,0.00,4.75,4.87,11.09,2000.000000
true,1340.00,1.00,42.35,0.00,4.62,4.77,11.13,2000.000000
true,1360.00,1.00,42.39,0.00,4.53,4.65,11.14,2000.000000
true,1400.00,1.00,42.44,0.00,4.45,4.52,11.16,2000.000000
true,1420.00,1.00,42.48,0.00,4.39,4.47,11.20,2000.000000
true,1460.00,1.00,42.53,0.00,4.29,4.37,11.20,2000.000000
true,1460.00,1.00,42.57,0.00,4.20,4.30,11.23,2000.000000
true,1520.00,1.00,42.61,0.00,4.08,4.22,11.27,2000.000000
true,1520.00,1.00,42.65,0.00,3.89,4.17,11.29,2000.000000
true,1540.00,1.00,42.69,0.00,3.93,4.05,11.29,2000.000000
true,1560.00,1.00,42.73,0.00,3.91,3.97,11.31,2000.000000
true,1580.00,1.00,42.77,0.00,3.82,3.91,11.32,2000.000000
true,1600.00,1.00,42.81,0.00,3.75,3.82,11.33,2000.000000
true,1640.00,1.00,42.87,0.00,3.63,3.68,11.33,2000.000000
true,1660.00,1.00,42.91,0.00,3.61,3.68,11.38,2000.000000
true,1680.00,1.00,42.94,0.00,3.56,3.58,11.41,2000.000000
true,1680.00,1.00,42.98,0.00,3.48,3.56,11.41,2000.000000
true,1720.00,1.00,43.02,0.00,3.43,3.50,11.46,2000.000000
true,1720.00,1.00,43.06,0.00,3.38,3.46,11.46,2000.000000
true,1760.00,1.00,43.11,0.00,3.29,3.39,11.48,2000.000000
true,1780.00,1.00,43.15,0.00,3.28,3.31,11.45,2000.000000
true,1780.00,1.00,43.19,0.00,3.19,3.30,11.48,2000.000000
true,1800.00,1.00,43.23,0.00,3.21,3.20,11.49,2000.000000
true,1820.00,1.00,43.28,0.00,3.14,3.18,11.50,2000.000000
true,1840.00,1.00,43.32,0.00,3.05,3.09,11.53,2000.000000
true,1860.00,1.00,43.37,0.00,3.03,3.05,11.54,2000.000000
true,1880.00,1.00,43.41,0.00,2.92,3.00,11.55,2000.000000
true,1880.00,1.00,43.45,0.00,2.90,2.97,11.57,2000.000000
true,1900.00,1.00,43.50,0.00,2.86,2.93,11.55,2000.000000
