isUsingController,shooter_velocity,shooter_power,time,intake_current,shooter_current,shooter2_current,battery_voltage,shooter_target
false,0.00,0.00,120.01,0.00,0.00,0.00,12.50,0.000000
false,0.00,0.00,120.05,0.00,0.00,0.00,12.50,0.000000
false,0.00,0.00,120.10,0.00,0.00,0.00,12.50,0.000000
false,0.00,0.00,120.13,0.00,0.01,0.00,12.51,0.000000
false,0.00,0.00,120.17,0.00,0.00,0.00,12.50,0.000000
false,0.00,0.00,120.20,0.00,0.00,0.00,12.50,0.000000
false,0.00,0.00,120.24,0.00,0.00,0.00,12.50,0.000000
false,0.00,0.84,120.29,0.00,0.00,5.98,11.27,2000.000000
false,40.00,0.97,120.33,0.00,4.71,8.24,10.55,2000.000000
false,60.00,0.97,120.36,0.00,7.42,8.90,10.10,2000.000000
false,100.00,0.97,120.39,0.00,8.18,8.78,10.09,2000.000000
false,140.00,0.97,120.42,0.00,8.44,8.48,10.06,2000.000000
false,240.00,0.97,120.45,0.00,8.21,8.04,10.25,2000.000000
false,260.00,0.97,120.49,0.00,8.28,8.24,10.09,2000.000000
false,280.00,0.97,120.52,0.00,7.97,8.18,10.20,2000.000000
false,340.00,0.97,120.55,0.00,7.79,8.02,10.23,2000.000000
false,380.00,0.97,120.58,0.00,7.74,7.98,10.20,2000.000000
false,400.00,0.97,120.61,0.00,7.49,7.78,10.21,2000.000000
false,460.00,0.97,120.64,0.00,7.45,7.69,10.31,2000.000000
false,520.00,0.97,120.69,0.00,7.08,7.44,10.37,2000.000000
false,560.00,0.97,120.73,0.00,7.19,7.24,10.37,2000.000000
false,600.00,0.97,120.77,0.00,6.93,7.03,10.44,2000.000000
false,640.00,0.97,120.81,0.00,6.77,6.89,10.51,2000.000000
false,700.00,0.97,120.85,0.00,6.63,6.77,10.51,2000.000000
false,700.00,0.97,120.89,0.00,6.29,6.60,10.64,2000.000000
false,760.00,0.97,120.92,0.00,6.46,6.50,10.54,2000.000000
false,780.00,0.97,120.96,0.00,6.32,6.37,10.60,2000.000000
false,820.00,0.97,121.00,0.00,6.25,6.24,10.63,2000.000000
false,860.00,0.97,121.03,0.00,6.02,6.14,10.54,2000.000000
false,920.00,0.97,121.07,0.00,6.03,5.99,10.65,2000.000000
false,900.00,0.97,121.10,0.00,5.91,5.88,10.67,2000.000000
false,940.00,0.97,121.13,0.00,5.80,5.76,10.73,2000.000000
false,980.00,0.97,121.18,0.00,5.68,5.65,10.71,2000.000000
false,1040.00,0.97,121.22,0.00,5.50,5.56,10.75,2000.000000
false,1060.00,0.97,121.26,0.00,5.47,5.41,10.78,2000.000000
false,1100.00,0.97,121.31,0.00,5.34,5.27,10.79,2000.000000
false,1120.00,0.97,121.35,0.00,5.20,5.21,10.83,2000.000000
false,1160.00,0.97,121.39,0.00,5.11,5.04,10.91,2000.000000
false,1200.00,0.97,121.44,0.00,4.97,4.93,10.92,2000.000000
false,1220.00,0.97,121.48,0.00,4.92,4.84,10.93,2000.000000
false,1260.00,0.97,121.52,0.00,4.79,4.74,10.94,2000.000000
false,1280.00,0.97,121.55,0.00,4.75,4.66,11.01,2000.000000
false,1300.00,0.97,121.59,0.00,4.68,4.57,11.03,2000.000000
false,1320.00,0.97,121.63,0.00,4.61,4.50,11.04,2000.000000
false,1360.00,0.97,121.67,0.00,4.51,4.45,11.05,2000.000000
false,1380.00,0.97,121.71,0.00,4.44,4.35,11.07,2000.000000
false,1420.00,0.97,121.75,0.00,4.36,4.27,11.10,2000.000000
false,1440.00,0.97,121.79,0.00,4.29,4.18,11.13,2000.000000
false,1460.00,0.97,121.83,0.00,4.21,4.08,11.17,2000.000000
false,1480.00,0.97,121.88,0.00,4.12,4.03,11.16,2000.000000
