isUsingController,shooter_velocity,shooter_power,time,intake_current,shooter_current,shooter2_current,battery_voltage,shooter_target
false,0.00,0.00,105.93,0.00,0.00,0.00,12.54,0.000000
false,0.00,0.00,105.97,0.00,0.00,0.00,12.55,0.000000
false,0.00,0.00,106.01,0.00,0.00,0.00,12.55,0.000000
false,0.00,0.00,106.05,0.00,0.00,0.00,12.55,0.000000
false,0.00,0.00,106.08,0.00,0.00,0.00,12.55,0.000000
false,0.00,0.00,106.12,0.00,0.00,0.00,12.55,0.000000
false,0.00,0.00,106.15,0.00,0.00,0.00,12.55,0.000000
false,0.00,0.00,106.19,0.00,0.00,0.00,12.54,0.000000
false,0.00,0.00,106.23,0.00,0.00,0.00,12.55,0.000000
false,0.00,0.55,106.27,0.00,0.00,4.23,12.08,1300.000000
false,40.00,0.55,106.31,0.00,2.83,5.49,11.85,1300.000000
false,60.00,0.55,106.34,0.00,4.13,5.20,11.74,1300.000000
false,60.00,0.55,106.38,0.00,4.97,5.10,11.69,1300.000000
false,80.00,0.55,106.41,0.00,5.98,5.17,11.46,1300.000000
false,120.00,0.55,106.44,0.00,6.00,5.19,11.44,1300.000000
false,160.00,0.61,106.48,0.00,6.65,5.17,11.29,1300.000000
false,220.00,0.61,106.51,0.00,7.19,5.18,11.07,1300.000000
false,220.00,0.61,106.54,0.00,7.84,5.00,10.85,1300.000000
false,240.00,0.61,106.57,0.00,8.44,4.77,10.89,1300.000000
false,300.00,0.61,106.60,0.00,8.61,4.59,10.79,1300.000000
false,340.00,0.61,106.63,0.00,8.63,4.51,10.78,1300.000000
false,360.00,0.61,106.67,0.00,8.52,4.25,10.82,1300.000000
false,400.00,0.61,106.70,0.00,8.42,4.24,10.90,1300.000000
false,460.00,0.61,106.74,0.00,8.17,4.08,10.91,1300.000000
false,460.00,0.61,106.78,0.00,8.06,3.95,10.86,1300.000000
false,540.00,0.61,106.82,0.00,7.98,3.87,10.91,1300.000000
false,560.00,0.61,106.86,0.00,7.82,3.67,10.92,1300.000000
false,600.00,0.61,106.91,0.00,7.61,3.59,11.00,1300.000000
false,620.00,0.61,106.95,0.00,7.38,3.39,11.16,1300.000000
false,660.00,0.61,106.99,0.00,7.49,3.28,11.05,1300.000000
false,700.00,0.61,107.03,0.00,7.14,3.17,11.11,1300.000000
false,740.00,0.61,107.07,0.00,7.28,3.06,11.08,1300.000000
false,760.00,0.61,107.12,0.00,6.98,2.95,11.18,1300.000000
false,820.00,0.61,107.17,0.00,6.79,2.84,11.24,1300.000000
false,840.00,0.61,107.20,0.01,6.81,2.78,11.20,1300.000000
false,860.00,0.61,107.23,0.00,6.73,2.68,11.25,1300.000000
false,900.00,0.61,107.26,0.00,6.74,2.58,11.21,1300.000000
false,920.00,0.61,107.30,0.00,6.47,2.48,11.33,1300.000000
false,920.00,0.61,107.33,0.00,6.57,2.40,11.31,1300.000000
false,920.00,0.61,107.36,0.00,6.44,2.36,11.24,1300.000000
false,980.00,0.61,107.39,0.00,6.34,2.28,11.37,1300.000000
false,960.00,0.61,107.43,0.00,6.09,2.21,11.46,1300.000000
false,1020.00,0.61,107.47,0.00,6.24,2.11,11.36,1300.000000
false,1000.00,0.61,107.51,0.00,6.19,2.01,11.36,1300.000000
false,1040.00,0.61,107.55,0.00,6.02,1.99,11.30,1300.000000
false,1080.00,0.61,107.59,0.00,5.95,1.86,11.42,1300.000000
false,1100.00,0.61,107.62,0.00,5.64,1.82,11.48,1300.000000
false,1140.00,0.61,107.67,0.00,5.81,1.72,11.43,1300.000000
false,1120.00,0.61,107.71,0.00,5.74,1.65,11.52,1300.000000
false,1180.00,0.61,107.75,0.00,5.63,1.56,11.50,1300.000000
false,1180.00,0.61,107.79,0.00,5.66,1.51,11.50,1300.000000
false,1200.00,0.61,107.83,0.00,5.56,1.44,11.49,1300.000000
false,1200.00,0.61,107.87,0.00,5.51,1.40,11.49,1300.000000
false,1240.00,0.61,107.91,0.00,5.46,1.32,11.51,1300.000000
false,1240.00,0.61,107.95,0.00,5.39,1.26,11.52,1300.000000
false,1280.00,0.61,108.00,0.00,5.30,1.19,11.56,1300.000000
false,1300.00,0.61,108.05,0.00,5.26,1.13,11.58,1300.000000
false,1300.00,0.61,108.08,0.00,5.20,1.08,11.56,1300.000000
false,1320.00,0.61,108.12,0.00,5.13,1.02,11.57,1300.000000
false,1340.00,0.61,108.15,0.00,5.07,0.99,11.58,1300.000000
false,1360.00,0.61,108.20,0.00,5.00,0.94,11.61,1300.000000
false,1360.00,0.61,108.24,0.00,4.94,0.91,11.62,1300.000000
false,1400.00,0.61,108.28,0.00,4.89,0.83,11.63,1300.000000
false,1420.00,0.61,108.32,0.00,4.84,0.79,11.65,1300.000000
false,1420.00,0.61,108.36,0.00,4.79,0.78,11.66,1300.000000
false,1440.00,0.61,108.41,0.00,4.69,0.73,11.72,1300.000000
false,1440.00,0.61,108.45,0.00,4.57,0.69,11.74,1300.000000
false,1460.00,0.61,108.49,0.00,4.50,0.65,11.71,1300.000000
false,1480.00,0.61,108.54,0.00,4.48,0.63,11.76,1300.000000
false,1500.00,0.61,108.58,0.00,4.30,0.59,11.79,1300.000000
false,1500.00,0.61,108.62,0.00,4.16,0.56,11.85,1300.000000
false,1520.00,0.61,108.65,0.00,4.03,0.55,11.81,1300.000000
false,1520.00,0.61,108.68,0.00,3.99,0.52,11.83,1300.000000
false,1520.00,0.61,108.72,0.00,3.87,0.51,11.86,1300.000000
false,1520.00,0.61,108.75,0.00,3.75,0.48,11.92,1300.000000
false,1540.00,0.61,108.78,0.00,3.81,0.47,11.89,1300.000000
false,1560.00,0.61,108.82,0.00,3.54,0.47,11.98,1300.000000
false,1580.00,0.61,108.86,0.00,3.38,0.44,11.97,1300.000000
false,1580.00,0.61,108.89,0.00,3.37,0.43,12.00,1300.000000
false,1580.00,0.61,108.93,0.00,3.17,0.42,12.02,1300.000000
false,1580.00,0.61,108.97,0.00,3.05,0.41,12.00,1300.000000
false,1580.00,0.61,109.01,0.00,2.93,0.39,12.08,1300.000000
false,1580.00,0.61,109.06,0.00,2.77,0.40,12.06,1300.000000
false,1600.00,0.61,109.10,0.00,2.60,0.39,12.14,1300.000000
false,1600.00,0.61,109.15,0.00,2.38,0.39,12.12,1300.000000
false,1620.00,0.61,109.19,0.00,2.29,0.37,12.16,1300.000000
false,1620.00,0.61,109.22,0.00,2.15,0.38,12.16,1300.000000
false,1600.00,0.61,109.25,0.00,1.99,0.38,12.21,1300.000000
false,1620.00,0.61,109.29,0.00,1.94,0.38,12.21,1300.000000
false,1620.00,0.61,109.33,0.00,1.76,0.38,12.25,1300.000000
false,1640.00,0.61,109.37,0.00,1.59,0.37,12.27,1300.000000
false,1640.00,0.61,109.41,0.00,1.43,0.38,12.30,1300.000000
false,1620.00,0.61,109.46,0.00,1.37,0.40,12.32,1300.000000
false,1640.00,0.61,109.49,0.00,1.24,0.39,12.33,1300.000000
false,1620.00,0.61,109.54,0.00,1.12,0.39,12.35,1300.000000
false,1640.00,0.56,109.59,0.00,0.83,0.30,12.41,1300.000000
false,1640.00,0.56,109.63,0.00,0.44,0.28,12.43,1300.000000
false,1620.00,0.56,109.67,0.00,0.25,0.28,12.44,1300.000000
false,1620.00,0.56,109.71,0.00,0.22,0.29,12.45,1300.000000
false,1620.00,0.56,109.75,0.00,0.20,0.29,12.45,1300.000000
false,1620.00,0.56,109.78,0.00,0.19,0.29,12.45,1300.000000
false,1620.00,0.56,109.82,0.00,0.16,0.30,12.46,1300.000000
false,1600.00,0.56,109.86,0.00,0.14,0.30,12.46,1300.000000
false,1620.00,0.56,109.90,0.00,0.13,0.31,12.47,1300.000000
false,1600.00,0.56,109.95,0.00,0.12,0.31,12.45,1300.000000
false,1580.00,0.56,109.98,0.00,0.11,0.32,12.45,1300.000000
false,1580.00,0.56,110.02,0.00,0.11,0.32,12.45,1300.000000
false,1580.00,0.56,110.07,0.00,0.09,0.32,12.45,1300.000000
false,1600.00,0.56,110.10,0.00,0.09,0.33,12.45,1300.000000
false,1580.00,0.56,110.14,0.00,0.08,0.33,12.45,1300.000000
false,1580.00,0.56,110.19,0.00,0.07,0.34,12.45,1300.000000
false,1580.00,0.56,110.23,0.00,0.06,0.35,12.46,1300.000000
false,1580.00,0.56,110.27,0.00,0.05,0.35,12.45,1300.000000
false,1560.00,0.56,110.31,0.00,0.04,0.36,12.45,1300.000000
false,1560.00,0.56,110.35,0.00,0.04,0.36,12.45,1300.000000
false,1560.00,0.56,110.39,0.00,0.03,0.38,12.46,1300.000000
false,1540.00,0.56,110.43,0.00,0.04,0.38,12.46,1300.000000
false,1560.00,0.56,110.47,0.00,0.03,0.39,12.46,1300.000000
