isUsingController,shooter_velocity,shooter_power,time,intake_current,shooter_current,shooter2_current,battery_voltage,shooter_target
true,2000.00,0.80,12.14,0.55,0.73,0.80,11.75,2000.000000
true,2000.00,0.80,12.19,0.58,0.22,0.81,11.82,2000.000000
true,2000.00,0.89,12.24,0.46,0.19,1.38,11.71,2000.000000
true,2020.00,0.89,12.29,0.47,0.44,1.49,11.65,2000.000000
true,2000.00,0.81,12.34,0.54,0.70,1.06,11.75,2000.000000
true,2020.00,0.90,12.39,0.50,0.69,1.36,11.64,2000.000000
true,2020.00,0.81,12.45,0.52,0.93,0.88,11.66,2000.000000
true,2020.00,0.81,12.49,0.58,0.86,0.75,11.78,2000.000000
true,2000.00,0.81,12.53,0.59,0.32,0.79,11.81,2000.000000
true,2000.00,0.89,12.58,0.51,0.26,1.35,11.69,2000.000000
true,2020.00,0.80,12.63,0.50,0.59,0.95,11.72,2000.000000
true,2000.00,0.80,12.68,0.54,0.43,0.80,11.84,2000.000000
true,2000.00,0.89,12.73,0.50,0.34,1.26,11.62,2000.000000
true,2000.00,0.81,12.77,0.61,0.66,0.95,11.74,2000.000000
true,2000.00,0.90,12.81,0.49,0.32,1.26,11.64,2000.000000
true,2000.00,0.90,12.85,0.49,0.33,1.46,11.60,2000.000000
true,2020.00,0.81,12.90,0.55,0.80,1.04,11.72,2000.000000
true,2000.00,1.00,12.95,0.49,0.22,2.10,11.51,2000.000000
true,2020.00,0.82,13.00,0.53,1.59,1.15,11.61,2000.000000
true,2000.00,0.82,13.05,0.63,1.15,0.94,11.84,2000.000000
true,2020.00,0.82,13.09,0.56,0.56,0.98,11.92,2000.000000
true,2020.00,0.82,13.13,0.63,0.42,1.00,11.88,2000.000000
true,2020.00,0.82,13.17,0.60,0.40,1.00,11.90,2000.000000
true,2020.00,0.89,13.22,2.07,0.58,1.24,11.38,2000.000000
true,2040.00,0.83,13.27,1.65,0.56,1.14,11.69,2000.000000
true,2020.00,0.91,13.31,2.58,0.25,1.27,11.31,2000.000000
true,2000.00,0.84,13.36,2.47,0.74,1.05,11.48,2000.000000
true,2020.00,0.84,13.40,2.05,0.48,0.95,11.53,2000.000000
true,2020.00,0.84,13.45,1.72,0.40,0.98,11.60,2000.000000
true,2000.00,0.92,13.50,2.09,0.43,1.48,11.38,2000.000000
true,2020.00,0.83,13.55,1.46,0.94,1.27,11.55,2000.000000
true,1940.00,1.00,13.59,1.01,0.66,2.06,11.42,2000.000000
true,1920.00,1.00,13.63,0.69,1.56,2.50,11.20,2000.000000
true,1920.00,1.00,13.67,0.52,2.32,2.43,11.22,2000.000000
true,1940.00,1.00,13.71,0.57,2.38,2.40,11.25,2000.000000
true,1940.00,1.00,13.76,0.51,2.32,2.38,11.30,2000.000000
true,1960.00,1.00,13.80,0.52,2.33,2.35,11.27,2000.000000
true,1980.00,1.00,13.85,0.58,2.29,2.34,11.28,2000.000000
true,1980.00,1.00,13.89,0.58,2.22,2.27,11.29,2000.000000
true,2000.00,1.00,13.94,0.52,2.25,2.27,11.27,2000.000000
true,2020.00,0.93,14.01,0.64,2.22,1.86,11.35,2000.000000
true,2020.00,0.83,14.05,0.56,2.19,1.47,11.58,2000.000000
true,2020.00,0.71,14.09,0.65,1.86,0.60,11.97,2000.000000
true,2020.00,0.78,14.13,0.75,0.39,0.46,12.03,2000.000000
true,2040.00,0.68,14.17,0.63,0.52,0.35,12.06,2000.000000
true,2020.00,0.68,14.21,0.63,0.61,0.22,12.13,2000.000000
true,2000.00,0.77,14.25,0.65,0.18,0.41,12.07,2000.000000
true,2020.00,0.77,14.29,0.60,0.26,0.59,12.05,2000.000000
true,2020.00,0.77,14.33,0.54,0.26,0.63,12.09,2000.000000
true,2020.00,0.77,14.37,0.56,0.20,0.64,12.07,2000.000000
true,2020.00,0.77,14.41,0.56,0.19,0.64,12.08,2000.000000
true,2000.00,0.87,14.46,0.51,0.28,1.25,11.86,2000.000000
true,2020.00,0.87,14.50,0.43,0.63,1.45,11.83,2000.000000
true,2020.00,0.87,14.54,0.49,0.53,1.47,11.86,2000.000000
true,2000.00,0.87,14.58,0.61,0.58,1.44,11.83,2000.000000
true,2020.00,0.79,14.63,0.61,0.57,0.91,11.99,2000.000000
true,2000.00,0.88,14.68,0.54,0.21,1.24,11.90,2000.000000
true,2020.00,0.88,14.72,0.50,0.61,1.45,11.83,2000.000000
true,2000.00,0.79,14.77,0.57,0.67,0.95,11.95,2000.000000
true,2020.00,0.79,14.81,0.63,0.44,0.75,12.00,2000.000000
true,2000.00,0.88,14.85,0.59,0.22,1.26,11.87,2000.000000
true,2020.00,0.88,14.89,0.46,0.62,1.44,11.83,2000.000000
true,2000.00,0.79,14.94,0.58,0.75,0.98,11.91,2000.000000
true,2040.00,0.79,14.97,0.86,0.70,0.70,11.60,2000.000000
true,2000.00,0.91,15.02,1.89,0.18,1.36,11.61,2000.000000
true,2000.00,0.82,15.07,1.41,0.91,1.01,11.60,2000.000000
true,2000.00,0.91,15.12,1.61,0.30,1.35,11.67,2000.000000
true,2040.00,0.80,15.16,1.54,0.71,1.00,11.60,2000.000000
true,2020.00,0.80,15.20,1.45,0.82,0.77,11.72,2000.000000
true,2000.00,0.90,15.24,2.06,0.27,1.14,11.42,2000.000000
true,2000.00,0.90,15.27,1.89,0.53,1.39,11.52,2000.000000
true,2000.00,0.90,15.31,1.35,0.95,1.57,11.50,2000.000000
true,1920.00,1.00,15.35,0.80,1.08,2.43,11.41,2000.000000
true,1900.00,1.00,15.39,0.59,1.84,2.54,11.17,2000.000000
true,1920.00,1.00,15.44,0.52,2.31,2.46,11.24,2000.000000
true,1940.00,1.00,15.48,0.51,2.38,2.43,11.20,2000.000000
true,1940.00,1.00,15.52,0.48,2.39,2.43,11.21,2000.000000
true,1960.00,1.00,15.56,0.58,2.34,2.39,11.18,2000.000000
true,1960.00,1.00,15.61,0.56,2.28,2.34,11.21,2000.000000
true,1980.00,1.00,15.66,0.52,2.25,2.31,11.20,2000.000000
true,1980.00,1.00,15.70,0.53,2.20,2.25,11.23,2000.000000
true,1980.00,1.00,15.75,0.58,2.19,2.21,11.23,2000.000000
true,2020.00,0.84,15.80,0.72,2.06,1.25,11.61,2000.000000
true,2000.00,0.90,15.84,0.65,1.24,1.38,11.63,2000.000000
true,2020.00,0.81,15.89,0.58,1.70,0.84,11.68,2000.000000
true,2020.00,0.81,15.93,0.63,1.33,0.75,11.81,2000.000000
true,2020.00,0.81,15.97,0.67,0.93,0.77,11.84,2000.000000
true,2040.00,0.81,16.02,0.58,0.76,0.78,11.84,2000.000000
true,2040.00,0.81,16.06,0.58,0.78,0.79,11.86,2000.000000
true,2020.00,0.81,16.09,0.61,0.77,0.78,11.89,2000.000000
true,2020.00,0.81,16.13,0.55,0.77,0.79,11.89,2000.000000
true,2020.00,0.69,16.18,0.59,0.73,0.42,12.00,2000.000000
true,2040.00,0.78,16.22,0.60,0.62,0.46,12.02,2000.000000
true,2020.00,0.78,16.26,0.63,0.34,0.56,12.04,2000.000000
true,2020.00,0.88,16.32,0.55,0.30,1.15,11.87,2000.000000
true,2020.00,0.88,16.36,0.51,0.85,1.37,11.72,2000.000000
true,2020.00,0.80,16.41,0.49,1.02,0.93,11.84,2000.000000
true,2040.00,0.80,16.46,0.54,0.75,0.80,11.93,2000.000000
true,2000.00,0.80,16.50,0.58,0.45,0.86,11.99,2000.000000
true,2020.00,0.80,16.55,0.61,0.32,0.87,11.99,2000.000000
true,2020.00,0.80,16.59,0.59,0.26,0.88,11.99,2000.000000
true,2000.00,0.88,16.63,0.50,0.31,1.33,11.73,2000.000000
true,2040.00,0.80,16.68,0.50,0.75,1.11,11.87,2000.000000
true,2000.00,0.80,16.73,0.63,0.26,0.87,11.97,2000.000000
true,2000.00,0.88,16.78,0.60,0.21,1.33,11.83,2000.000000
true,2020.00,0.79,16.84,0.56,0.50,0.93,11.73,2000.000000
true,2000.00,0.79,16.88,2.09,0.29,0.56,11.66,2000.000000
true,2000.00,0.91,16.93,1.43,0.28,1.40,11.51,2000.000000
true,2020.00,0.83,16.98,1.72,0.71,1.02,11.55,2000.000000
true,2000.00,0.90,17.03,1.52,0.29,1.47,11.50,2000.000000
true,2020.00,0.82,17.08,1.62,0.67,0.98,11.53,2000.000000
true,2000.00,0.92,17.13,2.18,0.34,1.43,11.40,2000.000000
true,1980.00,0.82,17.18,1.46,0.30,1.24,11.65,2000.000000
true,1940.00,1.00,17.23,0.89,1.26,2.21,11.14,2000.000000
true,1880.00,1.00,17.27,0.56,2.02,2.50,11.07,2000.000000
true,1920.00,1.00,17.32,0.50,2.34,2.47,11.20,2000.000000
true,1920.00,1.00,17.37,0.55,2.40,2.45,11.17,2000.000000
true,1940.00,1.00,17.41,0.58,2.36,2.42,11.17,2000.000000
true,1940.00,1.00,17.45,0.57,2.30,2.38,11.21,2000.000000
true,1940.00,1.00,17.50,0.52,2.33,2.38,11.21,2000.000000
true,1980.00,1.00,17.54,0.56,2.30,2.35,11.27,2000.000000
true,1960.00,1.00,17.59,0.62,2.23,2.27,11.23,2000.000000
true,1980.00,1.00,17.64,0.48,2.23,2.28,11.21,2000.000000
