isUsingController,shooter_velocity,shooter_power,time,intake_current,shooter_current,shooter2_current,battery_voltage,shooter_target
false,2160.00,0.92,269.11,0.52,0.44,1.19,11.48,2000.000000
false,2180.00,0.92,269.15,0.51,0.44,1.21,11.54,2000.000000
false,2160.00,0.92,269.20,0.58,0.41,1.19,11.53,2000.000000
false,2180.00,0.92,269.24,0.61,0.43,1.19,11.52,2000.000000
false,2180.00,0.92,269.28,0.54,0.45,1.20,11.51,2000.000000
false,2160.00,0.92,269.32,0.54,0.44,1.19,11.54,2000.000000
false,2180.00,0.92,269.36,0.54,0.42,1.19,11.53,2000.000000
false,2160.00,0.92,269.40,0.58,0.42,1.18,11.51,2000.000000
false,2180.00,0.92,269.45,0.52,0.42,1.20,11.54,2000.000000
false,2180.00,0.92,269.50,0.55,0.44,1.20,11.54,2000.000000
false,2160.00,0.92,269.54,0.63,0.43,1.20,11.54,2000.000000
false,2180.00,0.92,269.58,0.51,0.45,1.21,11.56,2000.000000
false,2160.00,0.92,269.62,0.56,0.43,1.22,11.58,2000.000000
false,2160.00,0.92,269.65,0.61,0.46,1.21,11.57,2000.000000
false,2160.00,0.92,269.70,0.57,0.44,1.21,11.54,2000.000000
false,2180.00,0.92,269.74,0.52,0.44,1.23,11.54,2000.000000
false,2180.00,0.92,269.79,0.59,0.46,1.20,11.55,2000.000000
false,2160.00,0.92,269.83,0.63,0.45,1.20,11.53,2000.000000
false,2180.00,0.92,269.87,0.50,0.46,1.22,11.54,2000.000000
false,2180.00,0.92,269.91,0.58,0.45,1.21,11.53,2000.000000
false,2160.00,0.92,269.95,0.58,0.44,1.20,11.53,2000.000000
false,2160.00,0.92,269.99,0.52,0.44,1.21,11.53,2000.000000
false,2160.00,0.92,270.03,0.53,0.43,1.20,11.52,2000.000000
false,2160.00,0.92,270.07,0.59,0.42,1.20,11.53,2000.000000
false,2180.00,0.92,270.11,0.59,0.42,1.19,11.52,2000.000000
false,2180.00,0.92,270.15,0.57,0.43,1.19,11.52,2000.000000
false,2160.00,0.92,270.19,0.55,0.44,1.19,11.51,2000.000000
false,2160.00,0.92,270.23,0.56,0.44,1.20,11.52,2000.000000
false,2160.00,0.92,270.26,0.53,0.45,1.20,11.50,2000.000000
false,2160.00,0.92,270.30,0.63,0.43,1.18,11.52,2000.000000
false,2180.00,0.92,270.34,0.67,0.42,1.18,11.44,2000.000000
false,2160.00,0.92,270.38,0.82,0.40,1.17,11.48,2000.000000
false,2160.00,0.92,270.41,0.95,0.38,1.14,11.46,2000.000000
false,2180.00,0.92,270.46,0.95,0.37,1.13,11.39,2000.000000
false,2160.00,0.92,270.50,2.08,0.28,1.02,11.08,2000.000000
false,2160.00,0.92,270.54,2.19,0.28,1.04,11.29,2000.000000
false,2160.00,0.92,270.57,1.67,0.33,1.09,11.35,2000.000000
false,2160.00,0.92,270.60,2.39,0.29,1.03,11.07,2000.000000
false,2160.00,0.92,270.64,3.03,0.21,0.95,11.16,2000.000000
false,2160.00,0.92,270.68,2.32,0.28,1.04,11.29,2000.000000
false,2160.00,0.92,270.72,2.02,0.28,1.05,11.24,2000.000000
false,2160.00,0.92,270.76,1.83,0.38,1.12,11.44,2000.000000
false,2160.00,0.92,270.80,2.05,0.32,1.06,11.27,2000.000000
false,2160.00,0.92,270.83,2.02,0.31,1.06,11.40,2000.000000
false,2120.00,0.92,270.87,1.33,0.45,1.27,11.33,2000.000000
false,2040.00,0.92,270.91,0.87,0.79,1.47,11.36,2000.000000
false,2060.00,0.92,270.95,0.69,0.96,1.43,11.35,2000.000000
false,2060.00,0.92,270.99,0.69,1.01,1.43,11.33,2000.000000
false,2040.00,0.92,271.03,0.53,1.09,1.44,11.34,2000.000000
false,2060.00,0.92,271.07,0.55,1.28,1.41,11.31,2000.000000
false,2060.00,0.92,271.11,0.51,1.34,1.38,11.25,2000.000000
false,2060.00,0.92,271.14,0.51,1.36,1.37,11.30,2000.000000
false,2060.00,0.92,271.18,0.52,1.30,1.37,11.31,2000.000000
false,2080.00,0.92,271.23,0.50,1.42,1.33,11.26,2000.000000
false,2080.00,0.92,271.26,0.48,1.47,1.32,11.26,2000.000000
false,2080.00,0.92,271.30,0.56,1.44,1.31,11.29,2000.000000
false,2080.00,0.92,271.34,0.46,1.45,1.29,11.25,2000.000000
false,2080.00,0.92,271.38,0.50,1.43,1.28,11.27,2000.000000
false,2100.00,0.92,271.42,0.52,1.55,1.25,11.28,2000.000000
false,2100.00,0.92,271.46,0.50,1.60,1.23,11.21,2000.000000
false,2100.00,0.92,271.50,0.49,1.68,1.20,11.20,2000.000000
false,2100.00,0.92,271.53,0.55,1.54,1.22,11.26,2000.000000
false,2100.00,0.92,271.57,0.50,1.60,1.20,11.24,2000.000000
false,2120.00,0.92,271.60,0.51,1.65,1.20,11.28,2000.000000
false,2120.00,0.92,271.64,0.53,1.65,1.20,11.30,2000.000000
false,2120.00,0.92,271.68,0.50,1.66,1.19,11.29,2000.000000
false,2120.00,0.92,271.72,0.52,1.62,1.18,11.31,2000.000000
false,2120.00,0.92,271.76,0.52,1.64,1.17,11.31,2000.000000
false,2140.00,0.92,271.80,0.51,1.60,1.16,11.31,2000.000000
false,2140.00,0.92,271.84,0.54,1.61,1.15,11.33,2000.000000
false,2140.00,0.92,271.88,0.57,1.59,1.13,11.31,2000.000000
false,2160.00,0.92,271.93,0.46,1.69,1.12,11.29,2000.000000
false,2160.00,0.92,271.97,0.53,1.71,1.09,11.30,2000.000000
false,2160.00,0.92,272.01,0.56,1.63,1.09,11.31,2000.000000
false,2160.00,0.92,272.05,0.56,1.57,1.09,11.34,2000.000000
false,2180.00,0.92,272.09,0.53,1.55,1.08,11.32,2000.000000
false,2160.00,0.92,272.13,0.53,1.56,1.05,11.33,2000.000000
false,2160.00,0.92,272.18,0.56,1.53,1.05,11.30,2000.000000
false,2180.00,0.92,272.22,0.48,1.52,1.05,11.33,2000.000000
false,2180.00,0.92,272.26,0.51,1.54,1.03,11.34,2000.000000
false,2180.00,0.92,272.30,0.61,1.46,1.02,11.32,2000.000000
false,2200.00,0.92,272.34,0.47,1.48,1.01,11.31,2000.000000
false,2180.00,0.92,272.38,0.50,1.48,1.00,11.35,2000.000000
false,2180.00,0.92,272.42,0.56,1.47,1.00,11.34,2000.000000
false,2200.00,0.92,272.48,0.58,1.34,0.97,11.37,2000.000000
false,2200.00,0.92,272.51,0.51,1.31,0.98,11.38,2000.000000
false,2200.00,0.92,272.55,0.57,1.30,0.99,11.39,2000.000000
false,2200.00,0.92,272.58,0.55,1.29,0.98,11.37,2000.000000
false,2200.00,0.92,272.61,0.53,1.30,0.97,11.41,2000.000000
false,2200.00,0.92,272.65,0.47,1.20,0.98,11.41,2000.000000
false,2200.00,0.92,272.69,0.54,1.20,0.98,11.40,2000.000000
false,2220.00,0.92,272.72,0.58,1.20,0.99,11.45,2000.000000
false,2220.00,0.92,272.75,0.48,1.21,1.01,11.44,2000.000000
false,2220.00,0.92,272.78,0.56,1.17,0.98,11.47,2000.000000
false,2220.00,0.92,272.81,0.49,1.11,1.01,11.44,2000.000000
false,2220.00,0.92,272.85,0.58,1.08,1.00,11.49,2000.000000
false,2200.00,0.92,272.88,0.55,1.15,1.00,11.44,2000.000000
false,2220.00,0.92,272.92,0.52,1.12,1.02,11.46,2000.000000
false,2220.00,0.92,272.95,0.55,1.08,0.99,11.47,2000.000000
false,2220.00,0.92,272.99,0.50,1.00,1.00,11.50,2000.000000
