isUsingController,shooter_velocity,shooter_power,time,intake_current,shooter_current,shooter2_current,battery_voltage,shooter_target
true,0.00,0.00,41.62,0.00,0.00,0.00,12.56,0.000000
true,0.00,0.00,41.68,0.00,0.00,0.00,12.57,0.000000
true,0.00,0.00,41.72,0.00,0.00,0.00,12.57,0.000000
true,20.00,1.00,41.78,0.00,3.38,6.43,10.44,1300.000000
true,60.00,1.00,41.81,0.00,6.83,9.51,10.51,1300.000000
true,80.00,1.00,41.85,0.00,8.13,9.11,10.13,1300.000000
true,120.00,1.00,41.88,0.00,8.41,8.83,10.16,1300.000000
true,200.00,1.00,41.92,0.00,8.20,8.57,10.21,1300.000000
true,220.00,1.00,41.96,0.00,8.38,8.41,10.31,1300.000000
true,320.00,1.00,42.00,0.00,8.06,8.46,10.24,1300.000000
true,340.00,1.00,42.04,0.00,8.00,8.27,10.23,1300.000000
true,420.00,1.00,42.07,0.00,7.67,8.02,10.35,1300.000000
true,460.00,1.00,42.11,0.00,7.63,7.82,10.43,1300.000000
true,500.00,1.00,42.14,0.00,7.40,7.78,10.35,1300.000000
true,540.00,1.00,42.19,0.00,7.33,7.49,10.45,1300.000000
true,580.00,1.00,42.22,0.00,7.18,7.41,10.48,1300.000000
true,660.00,1.00,42.27,0.00,6.93,7.27,10.51,1300.000000
true,680.00,1.00,42.31,0.00,6.79,7.09,10.58,1300.000000
true,740.00,1.00,42.35,0.00,6.61,6.95,10.64,1300.000000
true,760.00,1.00,42.38,0.00,6.59,6.76,10.69,1300.000000
true,820.00,1.00,42.43,0.00,6.42,6.61,10.65,1300.000000
true,860.00,1.00,42.47,0.00,6.31,6.46,10.85,1300.000000
true,920.00,1.00,42.51,0.00,6.19,6.28,10.72,1300.000000
true,920.00,1.00,42.55,0.00,6.07,6.16,10.78,1300.000000
true,1000.00,1.00,42.60,0.00,5.82,6.04,10.88,1300.000000
true,1020.00,1.00,42.64,0.00,5.68,5.92,10.91,1300.000000
true,1080.00,1.00,42.69,0.00,5.64,5.74,10.89,1300.000000
true,1080.00,1.00,42.73,0.00,5.53,5.63,10.97,1300.000000
true,1120.00,1.00,42.78,0.00,5.47,5.47,10.96,1300.000000
true,1160.00,1.00,42.82,0.00,5.33,5.38,10.99,1300.000000
