isUsingController,shooter_velocity,shooter_power,time,intake_current,shooter_current,shooter2_current,battery_voltage,shooter_target
true,1300.00,0.57,38.13,0.71,0.33,1.13,11.98,1300.000000
true,1320.00,0.47,38.18,0.73,0.22,0.66,12.12,1300.000000
true,1300.00,0.57,38.23,0.70,0.28,0.93,11.95,1300.000000
true,1300.00,0.57,38.29,0.67,0.31,1.12,11.97,1300.000000
true,1300.00,0.47,38.33,0.74,0.22,0.58,12.07,1300.000000
true,1300.00,0.57,38.37,0.70,0.18,0.91,11.95,1300.000000
true,1300.00,0.57,38.41,0.64,0.31,1.11,11.96,1300.000000
true,1320.00,0.57,38.45,0.70,0.31,1.12,11.89,1300.000000
true,1320.00,0.57,38.49,0.72,0.30,1.12,11.93,1300.000000
true,1320.00,0.57,38.53,0.62,0.30,1.14,11.93,1300.000000
true,1300.00,0.68,38.58,0.53,0.74,1.80,11.71,1300.000000
true,1300.00,0.59,38.63,0.65,0.90,1.37,11.86,1300.000000
true,1320.00,0.48,38.68,0.69,0.41,0.56,12.05,1300.000000
true,1300.00,0.57,38.73,0.67,0.30,0.86,11.93,1300.000000
true,1320.00,0.47,38.79,0.70,0.27,0.43,12.08,1300.000000
true,1300.00,0.57,38.84,0.67,0.36,0.95,11.96,1300.000000
true,1300.00,0.57,38.88,0.65,0.43,1.09,11.94,1300.000000
true,1320.00,0.47,38.93,0.70,0.39,0.55,12.09,1300.000000
true,1280.00,0.57,38.97,0.66,0.19,0.86,11.98,1300.000000
true,1320.00,0.57,39.02,0.68,0.31,1.12,11.97,1300.000000
true,1300.00,0.57,39.07,0.70,0.31,1.14,11.97,1300.000000
true,1320.00,0.47,39.12,0.67,0.43,0.50,12.09,1300.000000
true,1300.00,0.57,39.17,0.63,0.17,0.96,11.95,1300.000000
true,1320.00,0.57,39.21,0.83,0.29,1.09,11.70,1300.000000
true,1300.00,0.57,39.26,2.09,0.25,0.99,11.73,1300.000000
true,1300.00,0.57,39.30,1.76,0.27,1.04,11.72,1300.000000
true,1300.00,0.57,39.34,1.81,0.30,0.99,11.67,1300.000000
true,1300.00,0.57,39.38,1.63,0.35,1.04,11.70,1300.000000
true,1300.00,0.57,39.43,1.75,0.33,1.01,11.71,1300.000000
true,1300.00,0.49,39.49,2.09,0.22,0.44,11.72,1300.000000
true,1280.00,0.59,39.54,1.47,0.35,1.04,11.74,1300.000000
true,1220.00,0.68,39.59,0.90,1.22,1.92,11.48,1300.000000
true,1200.00,1.00,39.64,0.44,3.11,4.09,10.69,1300.000000
true,1220.00,1.00,39.68,0.37,4.43,4.73,10.66,1300.000000
true,1260.00,0.84,39.73,0.67,4.35,3.68,11.01,1300.000000
true,1300.00,0.72,39.79,0.73,3.76,2.53,11.28,1300.000000
true,1320.00,0.61,39.83,0.84,3.02,1.51,11.51,1300.000000
true,1340.00,0.50,39.88,0.81,2.11,0.71,11.84,1300.000000
true,1320.00,0.38,39.93,0.85,1.00,0.23,12.10,1300.000000
true,1340.00,0.47,39.99,0.72,0.57,0.25,12.09,1300.000000
true,1320.00,0.37,40.04,1.33,0.38,0.18,11.69,1300.000000
true,1320.00,0.49,40.09,2.23,0.26,0.26,11.82,1300.000000
true,1320.00,0.49,40.13,1.69,0.34,0.30,11.87,1300.000000
true,1320.00,0.49,40.17,2.20,0.31,0.30,11.75,1300.000000
true,1320.00,0.49,40.22,1.81,0.27,0.31,11.86,1300.000000
true,1320.00,0.58,40.28,1.69,0.31,0.83,11.66,1300.000000
true,1300.00,0.49,40.32,2.07,0.82,0.50,11.64,1300.000000
true,1300.00,0.49,40.36,2.01,0.27,0.33,11.91,1300.000000
true,1300.00,0.58,40.40,1.32,0.24,1.09,11.87,1300.000000
true,1200.00,0.88,40.44,0.72,0.86,3.00,11.33,1300.000000
true,1220.00,1.00,40.50,0.46,3.59,4.61,10.74,1300.000000
true,1260.00,0.84,40.55,0.48,4.50,3.75,10.87,1300.000000
true,1280.00,0.84,40.60,0.58,4.54,3.27,10.90,1300.000000
true,1320.00,0.73,40.65,0.60,4.57,2.38,10.97,1300.000000
true,1320.00,0.53,40.70,0.76,4.14,0.76,11.32,1300.000000
true,1340.00,0.41,40.75,0.86,2.84,0.26,11.73,1300.000000
true,1360.00,0.41,40.79,0.89,1.39,0.18,11.98,1300.000000
true,1360.00,0.27,40.84,0.87,0.75,0.12,12.02,1300.000000
true,1340.00,0.37,40.89,0.73,0.34,0.14,12.13,1300.000000
true,1360.00,0.27,40.94,0.68,0.16,0.10,12.13,1300.000000
true,1340.00,0.37,40.99,0.67,0.11,0.13,12.14,1300.000000
true,1320.00,0.37,41.03,0.67,0.11,0.16,12.16,1300.000000
true,1320.00,0.37,41.07,0.67,0.09,0.16,12.08,1300.000000
true,1340.00,0.37,41.12,1.07,0.08,0.16,12.03,1300.000000
true,1320.00,0.47,41.17,1.35,0.06,0.23,11.93,1300.000000
true,1320.00,0.38,41.22,1.50,0.09,0.19,11.96,1300.000000
true,1320.00,0.47,41.27,1.57,0.04,0.24,11.93,1300.000000
true,1320.00,0.47,41.32,1.71,0.07,0.27,11.86,1300.000000
true,1300.00,0.47,41.36,1.92,0.05,0.26,11.83,1300.000000
true,1300.00,0.59,41.41,2.81,0.05,0.81,11.58,1300.000000
true,1300.00,0.59,41.46,1.84,0.10,1.02,11.75,1300.000000
true,1300.00,0.59,41.50,1.93,0.11,1.01,11.73,1300.000000
true,1320.00,0.59,41.55,1.62,0.12,1.04,11.76,1300.000000
true,1300.00,0.59,41.59,1.75,0.12,1.04,11.70,1300.000000
true,1300.00,0.59,41.64,1.89,0.12,0.99,11.55,1300.000000
true,1300.00,0.59,41.69,1.88,0.13,1.02,11.79,1300.000000
true,1280.00,0.59,41.73,1.22,0.17,1.33,11.82,1300.000000
true,1220.00,0.98,41.79,0.43,2.86,3.93,10.83,1300.000000
true,1220.00,0.98,41.84,0.29,4.05,4.62,10.65,1300.000000
true,1240.00,0.98,41.88,0.44,4.44,4.56,10.64,1300.000000
true,1280.00,0.85,41.93,0.66,4.40,3.57,10.92,1300.000000
true,1300.00,0.63,41.98,0.83,3.59,1.99,11.54,1300.000000
true,1320.00,0.49,42.04,0.87,2.26,0.77,11.95,1300.000000
true,1340.00,0.49,42.09,0.80,1.54,0.35,11.94,1300.000000
true,1340.00,0.38,42.14,0.72,0.90,0.22,12.17,1300.000000
true,1320.00,0.46,42.19,0.78,0.36,0.22,12.14,1300.000000
true,1320.00,0.46,42.25,0.64,0.58,0.24,12.14,1300.000000
