isUsingController,shooter_velocity,shooter_power,time,intake_current,shooter_current,shooter2_current,battery_voltage,shooter_target
true,1300.00,0.70,48.30,0.49,0.34,1.50,11.31,1300.000000
true,1300.00,0.51,48.34,0.51,1.62,0.98,11.31,1300.000000
true,1320.00,0.71,48.37,0.58,0.46,1.46,11.31,1300.000000
true,1340.00,0.51,48.41,0.49,1.10,1.14,11.29,1300.000000
true,1340.00,0.51,48.46,0.62,1.14,0.34,11.29,1300.000000
true,1320.00,0.61,48.50,0.67,0.41,0.71,11.29,1300.000000
true,1320.00,0.51,48.54,0.48,1.09,0.39,11.42,1300.000000
true,1320.00,0.40,48.60,0.59,0.39,0.18,11.42,1300.000000
true,1320.00,0.60,48.63,0.63,0.16,0.69,11.48,1300.000000
true,1320.00,0.50,48.68,0.51,0.81,0.45,11.48,1300.000000
true,1320.00,0.50,48.71,0.54,0.54,0.28,11.48,1300.000000
true,1320.00,0.60,48.75,0.60,0.28,0.78,11.44,1300.000000
true,1320.00,0.50,48.80,0.59,0.65,0.56,11.44,1300.000000
true,1320.00,0.60,48.83,0.58,0.22,0.75,11.44,1300.000000
true,1340.00,0.60,48.87,0.52,0.71,0.91,11.41,1300.000000
true,1300.00,0.50,48.91,1.35,0.48,0.58,11.41,1300.000000
true,1320.00,0.50,48.94,1.81,0.22,0.31,11.41,1300.000000
true,1320.00,0.60,48.97,1.52,0.17,0.67,11.34,1300.000000
true,1320.00,0.61,49.02,2.07,0.51,0.84,11.34,1300.000000
true,1300.00,0.51,49.06,2.39,0.54,0.49,11.34,1300.000000
true,1300.00,0.61,49.11,1.73,0.23,0.78,11.28,1300.000000
true,1320.00,0.51,49.15,1.66,0.66,0.47,11.28,1300.000000
true,1300.00,0.51,49.18,1.53,0.30,0.31,11.28,1300.000000
true,1300.00,0.61,49.22,2.04,0.47,0.74,11.18,1300.000000
true,1320.00,0.61,49.25,3.06,0.70,0.93,11.18,1300.000000
true,1300.00,0.51,49.29,2.29,0.78,0.60,11.18,1300.000000
true,1260.00,0.61,49.33,2.02,0.48,0.96,11.13,1300.000000
true,1200.00,0.92,49.36,3.26,1.98,2.67,11.13,1300.000000
true,1220.00,1.00,49.41,2.04,3.61,3.78,11.13,1300.000000
true,1240.00,1.00,49.44,1.91,3.73,3.97,9.98,1300.000000
true,1260.00,0.89,49.48,2.49,3.66,3.51,9.98,1300.000000
true,1280.00,0.89,49.51,2.66,3.64,3.11,9.98,1300.000000
true,1280.00,0.79,49.56,2.80,3.44,2.38,10.23,1300.000000
true,1320.00,0.67,49.59,3.00,3.19,1.51,10.23,1300.000000
true,1300.00,0.57,49.64,2.47,2.76,0.73,10.23,1300.000000
true,1300.00,0.57,49.68,2.21,2.25,0.74,10.76,1300.000000
true,1240.00,0.84,49.71,1.83,2.10,1.86,10.76,1300.000000
true,1260.00,0.94,49.74,1.95,3.31,3.18,10.76,1300.000000
true,1260.00,0.84,49.79,1.74,3.77,2.95,10.21,1300.000000
true,1260.00,0.87,49.82,1.37,3.94,3.00,10.21,1300.000000
true,1220.00,0.97,49.86,1.05,3.95,3.74,10.21,1300.000000
true,1220.00,1.00,49.90,0.76,3.92,4.12,10.06,1300.000000
true,1240.00,0.98,49.95,0.64,3.86,4.04,10.06,1300.000000
true,1260.00,0.98,49.99,0.59,3.79,3.99,10.17,1300.000000
true,1300.00,0.68,50.03,0.66,3.85,2.15,10.17,1300.000000
true,1320.00,0.68,50.07,0.72,3.70,1.55,10.17,1300.000000
true,1340.00,0.58,50.10,0.69,3.65,1.11,10.81,1300.000000
true,1340.00,0.54,50.15,0.78,2.92,0.42,10.81,1300.000000
true,1340.00,0.44,50.18,0.70,2.53,0.27,10.81,1300.000000
true,1360.00,0.44,50.21,0.77,1.76,0.19,11.34,1300.000000
true,1360.00,0.31,50.25,0.68,1.45,0.12,11.34,1300.000000
true,1340.00,0.31,50.29,0.62,0.57,0.11,11.34,1300.000000
true,1360.00,0.41,50.34,0.64,0.35,0.15,11.51,1300.000000
true,1360.00,0.30,50.39,0.63,0.26,0.11,11.51,1300.000000
true,1340.00,0.40,50.42,0.59,0.14,0.14,11.51,1300.000000
true,1340.00,0.40,50.45,0.62,0.15,0.15,11.53,1300.000000
true,1340.00,0.40,50.48,0.53,0.15,0.16,11.53,1300.000000
true,1340.00,0.40,50.51,0.61,0.14,0.16,11.53,1300.000000
true,1340.00,0.40,50.54,0.56,0.12,0.16,11.52,1300.000000
true,1320.00,0.40,50.59,0.54,0.12,0.16,11.52,1300.000000
true,1340.00,0.40,50.62,0.56,0.10,0.16,11.52,1300.000000
true,1320.00,0.50,50.66,0.55,0.08,0.23,11.52,1300.000000
true,1320.00,0.50,50.70,0.54,0.10,0.26,11.52,1300.000000
true,1340.00,0.50,50.73,0.61,0.11,0.26,11.52,1300.000000
true,1320.00,0.50,50.76,0.54,0.11,0.25,11.52,1300.000000
true,1320.00,0.60,50.80,0.58,0.16,0.78,11.47,1300.000000
true,1300.00,0.50,50.83,0.55,0.19,0.57,11.47,1300.000000
true,1300.00,0.50,50.87,0.57,0.13,0.31,11.47,1300.000000
true,1320.00,0.50,50.90,0.59,0.11,0.28,11.53,1300.000000
true,1300.00,0.60,50.94,0.56,0.11,0.63,11.53,1300.000000
true,1300.00,0.70,50.97,0.54,0.17,1.44,11.53,1300.000000
true,1320.00,0.60,51.01,0.52,0.60,1.33,11.38,1300.000000
true,1300.00,0.60,51.05,0.53,0.52,1.00,11.38,1300.000000
true,1300.00,0.60,51.08,0.57,0.30,0.98,11.38,1300.000000
true,1300.00,0.60,51.11,0.55,0.30,0.97,11.43,1300.000000
true,1320.00,0.60,51.16,0.52,0.36,0.97,11.43,1300.000000
true,1300.00,0.50,51.20,0.59,0.26,0.55,11.43,1300.000000
true,1300.00,0.60,51.24,0.58,0.17,0.78,11.51,1300.000000
true,1300.00,0.60,51.28,0.53,0.38,0.99,11.51,1300.000000
true,1300.00,0.60,51.32,0.61,0.51,0.99,11.51,1300.000000
true,1320.00,0.60,51.35,0.53,0.51,1.00,11.43,1300.000000
true,1300.00,0.60,51.39,0.55,0.50,0.98,11.43,1300.000000
true,1300.00,0.60,51.43,0.59,0.64,0.97,11.43,1300.000000
true,1320.00,0.60,51.47,0.51,0.78,0.98,11.42,1300.000000
true,1320.00,0.50,51.51,0.56,0.79,0.51,11.42,1300.000000
true,1300.00,0.60,51.54,0.63,0.83,0.66,11.42,1300.000000
true,1320.00,0.50,51.59,0.61,0.81,0.43,11.42,1300.000000
true,1320.00,0.60,51.63,0.56,0.24,0.78,11.42,1300.000000
true,1320.00,0.60,51.66,0.59,0.76,0.93,11.42,1300.000000
true,1320.00,0.60,51.70,0.56,0.87,0.94,11.37,1300.000000
true,1320.00,0.60,51.74,0.56,0.86,0.93,11.37,1300.000000
true,1340.00,0.40,51.78,0.59,0.87,0.51,11.37,1300.000000
true,1320.00,0.50,51.82,0.63,0.18,0.31,11.52,1300.000000
true,1320.00,0.60,51.86,0.55,0.19,0.77,11.52,1300.000000
true,1320.00,0.50,51.90,0.55,0.19,0.56,11.52,1300.000000
true,1300.00,0.60,51.94,0.57,0.38,0.84,11.48,1300.000000
