power,aref,vref,xref,v_current,x_current_ticks,x_current_rads,pos1,pos2,to_pos_2,current
-0.000,0.000,-0.000,114.000,-0.000,114,-1.056,-60.000,60.000,false,0.003
-0.000,0.000,-0.000,114.000,-0.000,114,-1.056,-60.000,60.000,false,0.003
-0.000,0.000,-0.000,114.000,-0.000,114,-1.056,-60.000,60.000,false,0.003
-0.000,0.000,-0.000,114.000,-0.000,114,-1.056,-60.000,60.000,false,0.003
-0.000,0.000,-0.000,114.000,-0.000,114,-1.056,-60.000,60.000,false,0.003
-0.000,0.000,-0.000,114.000,-0.000,114,-1.056,-60.000,60.000,false,0.003
-0.000,0.000,-0.000,114.000,-0.000,114,-1.056,-60.000,60.000,false,0.003
-0.000,0.000,-0.000,114.000,-0.000,114,-1.056,-60.000,60.000,false,0.003
-0.000,0.000,-0.000,114.000,-0.000,114,-1.056,-60.000,60.000,false,0.003
-0.000,0.000,-0.000,114.000,-0.000,114,-1.056,-60.000,60.000,false,0.003
-0.000,0.000,-0.000,114.000,-0.000,114,-1.056,-60.000,60.000,false,0.003
-0.000,0.000,-0.000,114.000,-0.000,114,-1.056,-60.000,60.000,false,0.003
-0.000,0.000,-0.000,114.000,-0.000,114,-1.056,-60.000,60.000,false,0.003
-0.000,0.000,-0.000,114.000,-0.000,114,-1.056,-60.000,60.000,false,0.003
-0.000,0.000,-0.000,114.000,-0.000,114,-1.056,-60.000,60.000,false,0.000
-0.000,0.000,-0.000,114.000,-0.000,114,-1.056,-60.000,60.000,false,0.000
0.129,3000.000,62.659,115.309,-0.000,114,-1.056,-60.000,60.000,true,0.000
0.156,3000.000,118.166,117.495,-0.000,114,-1.056,-60.000,60.000,true,0.000
0.184,3000.000,172.062,120.586,-0.000,114,-1.056,-60.000,60.000,true,0.000
0.228,3000.000,255.500,127.692,40.000,117,-1.043,-60.000,60.000,true,0.583
0.262,3000.000,318.770,134.415,80.000,118,-1.039,-60.000,60.000,true,0.583
0.295,3000.000,381.596,142.407,100.000,121,-1.027,-60.000,60.000,true,0.583
0.326,3000.000,440.720,151.092,160.000,124,-1.014,-60.000,60.000,true,0.583
0.352,3000.000,485.045,158.259,180.000,129,-0.989,-60.000,60.000,true,0.583
0.392,3000.000,559.063,172.052,260.000,136,-0.964,-60.000,60.000,true,0.583
0.414,3000.000,600.743,180.399,320.000,142,-0.935,-60.000,60.000,true,1.592
0.437,3000.000,646.100,190.167,380.000,149,-0.906,-60.000,60.000,true,1.592
0.460,3000.000,689.784,200.211,460.000,157,-0.872,-60.000,60.000,true,1.592
0.485,3000.000,739.075,212.355,500.000,167,-0.831,-60.000,60.000,true,1.592
0.508,3000.000,784.042,224.107,580.000,177,-0.789,-60.000,60.000,true,1.592
0.537,3000.000,840.287,239.861,680.000,193,-0.722,-60.000,60.000,true,1.592
0.566,3000.000,894.323,255.969,740.000,206,-0.668,-60.000,60.000,true,1.592
0.589,3000.000,941.182,270.670,780.000,219,-0.613,-60.000,60.000,true,1.607
0.615,3000.000,992.008,287.477,820.000,234,-0.551,-60.000,60.000,true,1.607
0.638,3000.000,1040.644,304.347,900.000,250,-0.484,-60.000,60.000,true,1.607
0.666,3000.000,1096.476,324.754,980.000,269,-0.396,-60.000,60.000,true,1.607
0.523,-2000.000,1057.685,345.268,1020.000,294,-0.300,-60.000,60.000,true,1.607
0.505,-2000.000,1017.149,365.883,1080.000,313,-0.217,-60.000,60.000,true,1.607
0.484,-2000.000,980.591,383.807,1160.000,337,-0.117,-60.000,60.000,true,1.669
0.463,-2000.000,945.326,400.476,1240.000,358,-0.033,-60.000,60.000,true,1.669
0.442,-2000.000,911.260,415.998,1220.000,378,0.050,-60.000,60.000,true,1.669
0.423,-2000.000,879.063,430.149,1220.000,397,0.134,-60.000,60.000,true,1.669
0.392,-2000.000,842.403,445.591,1160.000,423,0.238,-60.000,60.000,true,1.669
0.369,-2000.000,800.456,462.379,1160.000,442,0.321,-60.000,60.000,true,1.669
0.342,-2000.000,755.031,479.527,1100.000,470,0.434,-60.000,60.000,true,0.112
0.319,-2000.000,717.028,493.152,1040.000,486,0.501,-60.000,60.000,true,0.112
0.301,-2000.000,682.919,504.799,980.000,501,0.563,-60.000,60.000,true,0.112
0.280,-2000.000,647.240,516.345,900.000,516,0.626,-60.000,60.000,true,0.112
0.258,-2000.000,611.542,527.261,860.000,534,0.701,-60.000,60.000,true,0.112
0.237,-2000.000,569.093,539.339,800.000,547,0.755,-60.000,60.000,true,0.112
0.217,-2000.000,530.634,549.543,740.000,561,0.810,-60.000,60.000,true,0.109
0.197,-2000.000,495.147,558.329,680.000,571,0.856,-60.000,60.000,true,0.109
0.182,-2000.000,464.786,565.385,660.000,580,0.893,-60.000,60.000,true,0.109
0.166,-2000.000,435.023,571.858,600.000,589,0.931,-60.000,60.000,true,0.109
0.150,-2000.000,405.066,577.926,600.000,597,0.964,-60.000,60.000,true,0.109
0.133,-2000.000,373.345,583.847,520.000,606,0.997,-60.000,60.000,true,0.109
0.115,-2000.000,336.655,590.023,500.000,613,1.027,-60.000,60.000,true,0.109
0.000,-1361.760,480.000,618.000,440.000,620,1.056,-60.000,60.000,true,0.112
0.152,-3000.000,429.187,625.269,420.000,625,1.081,-60.000,60.000,true,0.112
0.126,-3000.000,373.485,632.204,400.000,632,1.110,-60.000,60.000,true,0.112
0.103,-3000.000,324.630,637.491,380.000,638,1.131,-60.000,60.000,true,0.112
0.081,-3000.000,278.752,641.754,340.000,643,1.152,-60.000,60.000,true,0.112
0.052,-3000.000,224.858,645.793,340.000,650,1.185,-60.000,60.000,true,0.112
0.026,-3000.000,171.003,648.863,340.000,655,1.206,-60.000,60.000,true,0.364
-0.000,-3000.000,118.693,650.932,320.000,660,1.223,-60.000,60.000,true,0.364
-0.029,-3000.000,65.317,652.095,300.000,665,1.248,-60.000,60.000,true,0.364
-0.055,-3000.000,18.225,652.381,280.000,670,1.265,-60.000,60.000,true,0.364
-0.127,-3000.000,-25.330,652.013,280.000,673,1.277,-60.000,60.000,true,0.364
-0.151,-3000.000,-69.813,650.978,240.000,676,1.290,-60.000,60.000,true,0.364
-0.175,-3000.000,-113.841,649.307,180.000,677,1.294,-60.000,60.000,true,0.364
-0.204,-3000.000,-169.870,646.134,80.000,677,1.294,-60.000,60.000,true,0.812
-0.229,-3000.000,-218.458,642.596,40.000,677,1.294,-60.000,60.000,true,0.812
-0.251,-3000.000,-261.205,638.874,-20.000,676,1.290,-60.000,60.000,true,0.812
-0.275,-3000.000,-304.689,634.458,-40.000,674,1.281,-60.000,60.000,true,0.812
-0.138,2000.000,-274.197,630.278,-120.000,671,1.269,-60.000,60.000,true,0.812
-0.120,2000.000,-234.514,625.625,-160.000,668,1.256,-60.000,60.000,true,0.812
-0.104,2000.000,-201.512,622.299,-160.000,665,1.244,-60.000,60.000,true,0.375
-0.085,2000.000,-157.545,618.836,-140.000,662,1.231,-60.000,60.000,true,0.375
-0.059,0.000,0.000,617.922,-160.000,660,1.223,-60.000,60.000,true,0.375
-0.058,-0.000,0.000,617.922,-160.000,657,1.210,-60.000,60.000,true,0.375
-0.056,-0.000,0.000,617.922,-160.000,655,1.202,-60.000,60.000,true,0.375
-0.054,-0.000,0.000,617.922,-120.000,654,1.198,-60.000,60.000,true,0.375
-0.054,-0.000,0.000,617.922,-100.000,652,1.189,-60.000,60.000,true,0.375
-0.052,-0.000,0.000,617.922,-80.000,651,1.185,-60.000,60.000,true,0.105
-0.052,-0.000,0.000,617.922,-60.000,651,1.185,-60.000,60.000,true,0.105
-0.052,-0.000,0.000,617.922,-60.000,650,1.181,-60.000,60.000,true,0.105
-0.052,-0.000,0.000,617.922,-40.000,650,1.181,-60.000,60.000,true,0.105
-0.050,-0.000,0.000,617.922,-40.000,649,1.177,-60.000,60.000,true,0.105
-0.050,-0.000,0.000,617.922,-20.000,649,1.177,-60.000,60.000,true,0.105
-0.050,-0.000,0.000,617.922,-20.000,649,1.177,-60.000,60.000,true,0.105
-0.050,-0.000,0.000,617.922,-20.000,648,1.173,-60.000,60.000,true,0.123
-0.048,-0.000,0.000,617.922,-40.000,647,1.169,-60.000,60.000,true,0.123
-0.048,-0.000,0.000,617.922,-60.000,646,1.164,-60.000,60.000,true,0.123
-0.048,-0.000,0.000,617.922,-40.000,646,1.164,-60.000,60.000,true,0.123
-0.047,-0.000,0.000,617.922,-40.000,645,1.160,-60.000,60.000,true,0.123
-0.047,-0.000,0.000,617.922,-40.000,644,1.156,-60.000,60.000,true,0.123
-0.047,-0.000,0.000,617.922,-20.000,644,1.156,-60.000,60.000,true,0.247
-0.047,-0.000,0.000,617.922,-20.000,644,1.156,-60.000,60.000,true,0.247
-0.045,-0.000,0.000,617.922,-20.000,643,1.152,-60.000,60.000,true,0.247
-0.045,-0.000,0.000,617.922,-20.000,643,1.152,-60.000,60.000,true,0.247
-0.045,-0.000,0.000,617.922,-40.000,642,1.148,-60.000,60.000,true,0.247
-0.044,-0.000,0.000,617.922,-60.000,641,1.144,-60.000,60.000,true,0.247
-0.044,-0.000,0.000,617.922,-60.000,640,1.139,-60.000,60.000,true,0.247
-0.044,-0.000,0.000,617.922,-60.000,640,1.139,-60.000,60.000,true,0.247
-0.042,-0.000,0.000,617.922,-40.000,639,1.135,-60.000,60.000,true,0.349
-0.042,-0.000,0.000,617.922,-40.000,638,1.131,-60.000,60.000,true,0.349
-0.042,-0.000,0.000,617.922,-40.000,638,1.127,-60.000,60.000,true,0.349
-0.040,-0.000,0.000,617.922,-60.000,636,1.123,-60.000,60.000,true,0.349
-0.040,-0.000,0.000,617.922,-60.000,635,1.118,-60.000,60.000,true,0.349
-0.038,-0.000,0.000,617.922,-60.000,634,1.114,-60.000,60.000,true,0.349
-0.038,-0.000,0.000,617.922,-60.000,633,1.110,-60.000,60.000,true,0.277
-0.036,-0.000,0.000,617.922,-60.000,632,1.106,-60.000,60.000,true,0.277
-0.036,-0.000,0.000,617.922,-80.000,631,1.098,-60.000,60.000,true,0.277
-0.035,-0.000,0.000,617.922,-60.000,630,1.098,-60.000,60.000,true,0.277
-0.035,-0.000,0.000,617.922,-60.000,629,1.089,-60.000,60.000,true,0.277
-0.033,-0.000,0.000,617.922,-40.000,628,1.085,-60.000,60.000,true,0.277
-0.033,-0.000,0.000,617.922,-60.000,626,1.081,-60.000,60.000,true,0.273
-0.031,-0.000,0.000,617.922,-60.000,625,1.077,-60.000,60.000,true,0.273
-0.030,-0.000,0.000,617.922,-80.000,624,1.073,-60.000,60.000,true,0.273
-0.030,-0.000,0.000,617.922,-60.000,623,1.068,-60.000,60.000,true,0.273
0.000,0.000,-80.000,622.000,-60.000,622,1.064,-60.000,60.000,true,0.273
0.000,1055.920,-60.000,621.000,-60.000,621,1.060,-60.000,60.000,true,0.273
0.000,0.000,-60.000,620.000,-40.000,620,1.056,-60.000,60.000,true,0.051
0.000,0.000,-60.000,619.000,-60.000,619,1.052,-60.000,60.000,true,0.051
0.000,1411.515,-40.000,619.000,-40.000,619,1.052,-60.000,60.000,true,0.051
0.000,1284.133,-20.000,619.000,-20.000,619,1.052,-60.000,60.000,true,0.051
0.000,0.000,-20.000,619.000,-0.000,619,1.052,-60.000,60.000,true,0.051
0.000,1245.214,-0.000,619.000,-0.000,619,1.052,-60.000,60.000,true,0.051
0.000,0.000,-0.000,619.000,-0.000,619,1.052,-60.000,60.000,true,0.051
0.000,0.000,-0.000,619.000,-0.000,619,1.052,-60.000,60.000,true,0.003
0.000,0.000,-0.000,619.000,-0.000,619,1.052,-60.000,60.000,true,0.003
0.000,0.000,-0.000,619.000,-0.000,619,1.052,-60.000,60.000,true,0.003
0.000,0.000,-0.000,619.000,-0.000,619,1.052,-60.000,60.000,true,0.003
0.000,0.000,-0.000,619.000,-0.000,619,1.052,-60.000,60.000,true,0.003
0.000,0.000,-0.000,619.000,-0.000,619,1.052,-60.000,60.000,true,0.003
0.000,0.000,-0.000,619.000,-0.000,619,1.052,-60.000,60.000,true,0.003
0.000,0.000,-0.000,619.000,-0.000,619,1.052,-60.000,60.000,true,0.003
0.000,0.000,-0.000,619.000,-0.000,619,1.052,-60.000,60.000,true,0.003
0.000,0.000,-0.000,619.000,-0.000,619,1.052,-60.000,60.000,true,0.003
0.000,0.000,-0.000,619.000,-0.000,619,1.052,-60.000,60.000,true,0.003
0.000,0.000,-0.000,619.000,-0.000,619,1.052,-60.000,60.000,true,0.003
0.000,0.000,-0.000,619.000,-0.000,619,1.052,-60.000,60.000,true,0.003
0.000,0.000,-0.000,619.000,-0.000,619,1.052,-60.000,60.000,true,0.003
0.000,0.000,-0.000,619.000,-0.000,619,1.052,-60.000,60.000,true,0.003
0.000,0.000,-0.000,619.000,-0.000,619,1.052,-60.000,60.000,true,0.003
0.000,0.000,-0.000,619.000,-0.000,619,1.052,-60.000,60.000,true,0.003
0.000,0.000,-0.000,619.000,-0.000,619,1.052,-60.000,60.000,true,0.003
