power,aref,vref,xref,v_current,x_current_ticks,x_current_rads,pos1,pos2,to_pos_2,current
-0.000,0.000,-0.000,493.000,-0.000,493,0.526,0.000,30.000,true,0.000
-0.000,0.000,-0.000,493.000,-0.000,493,0.526,0.000,30.000,true,0.003
-0.000,0.000,-0.000,493.000,-0.000,493,0.526,0.000,30.000,true,0.003
-0.000,0.000,-0.000,493.000,-0.000,493,0.526,0.000,30.000,true,0.003
-0.000,0.000,-0.000,493.000,-0.000,493,0.526,0.000,30.000,true,0.003
-0.000,0.000,-0.000,493.000,-0.000,493,0.526,0.000,30.000,true,0.003
-0.000,0.000,-0.000,493.000,-0.000,493,0.526,0.000,30.000,true,0.003
-0.000,0.000,-0.000,493.000,-0.000,493,0.526,0.000,30.000,true,0.003
-0.000,0.000,-0.000,493.000,-0.000,493,0.526,0.000,30.000,true,0.003
-0.000,0.000,-0.000,493.000,-0.000,493,0.526,0.000,30.000,true,0.003
-0.000,0.000,-0.000,493.000,-0.000,493,0.526,0.000,30.000,true,0.003
-0.000,0.000,-0.000,493.000,-0.000,493,0.526,0.000,30.000,true,0.003
-0.000,0.000,-0.000,493.000,-0.000,493,0.526,0.000,30.000,true,0.003
-0.000,0.000,-0.000,493.000,-0.000,493,0.526,0.000,30.000,true,0.003
-0.000,0.000,-0.000,493.000,-0.000,493,0.526,0.000,30.000,true,0.003
-0.000,0.000,-0.000,493.000,-0.000,493,0.526,0.000,30.000,true,0.003
-0.000,0.000,-0.000,493.000,-0.000,493,0.526,0.000,30.000,true,0.003
-0.000,0.000,-0.000,493.000,-0.000,493,0.526,0.000,30.000,true,0.003
-0.123,-3000.000,-51.086,492.130,-0.000,493,0.526,0.000,30.000,false,0.003
-0.154,-3000.000,-112.531,489.825,-0.000,493,0.526,0.000,30.000,false,0.309
-0.189,-3000.000,-181.840,485.624,-20.000,491,0.518,0.000,30.000,false,0.309
-0.213,-3000.000,-229.719,481.958,-40.000,491,0.513,0.000,30.000,false,0.309
-0.238,-3000.000,-277.342,477.555,-60.000,489,0.509,0.000,30.000,false,0.309
-0.262,-3000.000,-323.013,472.638,-100.000,487,0.501,0.000,30.000,false,0.309
-0.287,-3000.000,-371.906,466.577,-100.000,484,0.488,0.000,30.000,false,0.309
-0.319,-3000.000,-431.533,458.000,-220.000,478,0.463,0.000,30.000,false,1.545
-0.351,-3000.000,-491.213,448.228,-240.000,473,0.442,0.000,30.000,false,1.545
-0.375,-3000.000,-539.564,439.532,-320.000,467,0.417,0.000,30.000,false,1.545
-0.239,2000.000,-508.644,431.668,-360.000,461,0.388,0.000,30.000,false,1.545
-0.223,2000.000,-475.013,423.680,-400.000,453,0.355,0.000,30.000,false,1.545
-0.368,-3000.000,-521.673,415.567,-480.000,444,0.317,0.000,30.000,false,1.545
-0.228,2000.000,-489.844,407.771,-520.000,434,0.275,0.000,30.000,false,1.545
-0.210,2000.000,-459.576,400.816,-600.000,421,0.221,0.000,30.000,false,1.472
-0.189,2000.000,-419.750,392.458,-660.000,410,0.179,0.000,30.000,false,1.472
-0.169,2000.000,-386.329,386.002,-680.000,398,0.125,0.000,30.000,false,1.472
-0.148,2000.000,-349.954,379.637,-660.000,388,0.083,0.000,30.000,false,1.472
-0.128,2000.000,-315.827,374.248,-580.000,378,0.042,0.000,30.000,false,1.472
0.000,2617.130,-580.000,366.000,-560.000,364,-0.033,0.000,30.000,false,1.472
-0.181,3000.000,-495.883,352.096,-520.000,347,-0.088,0.000,30.000,false,0.083
-0.140,3000.000,-404.583,339.783,-420.000,339,-0.121,0.000,30.000,false,0.083
-0.113,3000.000,-346.204,333.046,-380.000,333,-0.146,0.000,30.000,false,0.083
-0.089,3000.000,-292.257,327.791,-300.000,329,-0.159,0.000,30.000,false,0.083
-0.067,3000.000,-242.308,323.756,-220.000,327,-0.167,0.000,30.000,false,0.083
-0.047,3000.000,-197.538,320.808,-180.000,326,-0.171,0.000,30.000,false,0.083
-0.024,3000.000,-143.666,318.229,-80.000,326,-0.171,0.000,30.000,false,0.473
0.002,3000.000,-83.612,316.555,-20.000,326,-0.167,0.000,30.000,false,0.473
0.025,3000.000,-32.699,316.000,20.000,327,-0.167,0.000,30.000,false,0.473
0.101,3000.000,24.846,316.476,40.000,328,-0.163,0.000,30.000,false,0.473
0.126,3000.000,76.336,317.787,40.000,328,-0.163,0.000,30.000,false,0.473
0.148,3000.000,121.180,319.598,20.000,328,-0.163,0.000,30.000,false,0.473
0.171,3000.000,167.525,322.186,20.000,329,-0.159,0.000,30.000,false,0.969
0.203,3000.000,228.381,326.819,40.000,331,-0.150,0.000,30.000,false,0.969
0.226,3000.000,275.913,331.190,100.000,333,-0.142,0.000,30.000,false,0.969
0.250,3000.000,322.411,336.188,140.000,336,-0.125,0.000,30.000,false,0.969
0.277,3000.000,377.247,343.083,200.000,342,-0.104,0.000,30.000,false,0.969
0.139,-2000.000,345.447,348.576,260.000,347,-0.083,0.000,30.000,false,0.969
0.123,-2000.000,313.566,353.574,300.000,353,-0.058,0.000,30.000,false,0.969
0.105,-2000.000,279.625,358.319,360.000,361,-0.021,0.000,30.000,false,0.710
0.000,1761.561,380.000,367.000,380.000,368,0.004,0.000,30.000,false,0.710
0.105,-3000.000,328.613,372.629,360.000,373,0.029,0.000,30.000,false,0.710
0.082,-3000.000,279.611,377.196,320.000,377,0.046,0.000,30.000,false,0.710
0.057,-3000.000,226.559,381.202,260.000,382,0.063,0.000,30.000,false,0.710
0.028,-3000.000,164.477,384.606,180.000,384,0.071,0.000,30.000,false,0.710
0.005,-3000.000,112.486,386.556,120.000,385,0.075,0.000,30.000,false,0.645
-0.029,-3000.000,39.151,387.513,40.000,385,0.075,0.000,30.000,false,0.645
-0.101,-3000.000,-11.924,387.310,-20.000,384,0.071,0.000,30.000,false,0.645
-0.128,-3000.000,-67.582,386.056,-40.000,383,0.067,0.000,30.000,false,0.645
-0.153,-3000.000,-120.658,383.921,-60.000,381,0.058,0.000,30.000,false,0.645
-0.185,-3000.000,-186.780,379.804,-80.000,379,0.046,0.000,30.000,false,0.645
-0.211,-3000.000,-238.501,375.693,-140.000,375,0.033,0.000,30.000,false,1.286
0.000,-1599.651,-160.000,371.000,-200.000,371,0.013,0.000,30.000,false,1.286
0.000,-3515.341,-220.000,367.000,-220.000,366,-0.004,0.000,30.000,false,1.286
0.029,0.000,0.000,367.000,-260.000,362,-0.025,0.000,30.000,false,1.286
0.031,-0.000,0.000,367.000,-240.000,359,-0.038,0.000,30.000,false,1.286
0.035,-0.000,0.000,367.000,-200.000,354,-0.054,0.000,30.000,false,1.286
0.036,-0.000,0.000,367.000,-140.000,353,-0.058,0.000,30.000,false,0.798
0.036,-0.000,0.000,367.000,-80.000,353,-0.058,0.000,30.000,false,0.798
0.036,-0.000,0.000,367.000,-0.000,354,-0.054,0.000,30.000,false,0.798
0.036,-0.000,0.000,367.000,20.000,354,-0.054,0.000,30.000,false,0.798
0.035,-0.000,0.000,367.000,40.000,355,-0.050,0.000,30.000,false,0.798
0.035,-0.000,0.000,367.000,60.000,356,-0.046,0.000,30.000,false,0.798
0.035,-0.000,0.000,367.000,40.000,356,-0.046,0.000,30.000,false,0.798
0.033,-0.000,0.000,367.000,40.000,357,-0.042,0.000,30.000,false,0.393
0.033,-0.000,0.000,367.000,20.000,357,-0.042,0.000,30.000,false,0.393
0.033,-0.000,0.000,367.000,20.000,357,-0.042,0.000,30.000,false,0.393
0.033,-0.000,0.000,367.000,-0.000,357,-0.042,0.000,30.000,false,0.393
0.033,-0.000,0.000,367.000,-0.000,357,-0.042,0.000,30.000,false,0.393
0.033,-0.000,0.000,367.000,20.000,358,-0.038,0.000,30.000,false,0.393
0.033,-0.000,0.000,367.000,20.000,358,-0.038,0.000,30.000,false,0.393
0.033,-0.000,0.000,367.000,20.000,358,-0.038,0.000,30.000,false,0.554
0.031,-0.000,0.000,367.000,20.000,359,-0.033,0.000,30.000,false,0.554
0.031,-0.000,0.000,367.000,40.000,360,-0.029,0.000,30.000,false,0.554
0.030,-0.000,0.000,367.000,60.000,361,-0.025,0.000,30.000,false,0.554
0.030,-0.000,0.000,367.000,40.000,362,-0.021,0.000,30.000,false,0.554
0.030,-0.000,0.000,367.000,40.000,362,-0.021,0.000,30.000,false,0.554
0.000,0.000,60.000,363.000,40.000,363,-0.017,0.000,30.000,false,0.364
0.000,0.000,60.000,364.000,40.000,364,-0.013,0.000,30.000,false,0.364
0.000,-1336.675,40.000,365.000,40.000,365,-0.008,0.000,30.000,false,0.364
0.000,0.000,40.000,365.000,40.000,365,-0.008,0.000,30.000,false,0.364
0.000,-828.978,20.000,365.000,20.000,365,-0.008,0.000,30.000,false,0.364
0.000,0.000,20.000,365.000,-0.000,365,-0.008,0.000,30.000,false,0.364
0.000,-1308.091,-0.000,365.000,-0.000,365,-0.008,0.000,30.000,false,0.010
0.000,0.000,-0.000,365.000,-0.000,365,-0.008,0.000,30.000,false,0.010
0.000,0.000,-0.000,365.000,-0.000,365,-0.008,0.000,30.000,false,0.010
0.000,0.000,-0.000,365.000,-0.000,365,-0.008,0.000,30.000,false,0.010
0.126,3000.000,57.928,366.119,-0.000,365,-0.008,0.000,30.000,true,0.010
0.153,3000.000,111.133,368.089,-0.000,365,-0.008,0.000,30.000,true,0.010
0.177,3000.000,159.699,370.675,40.000,367,0.000,0.000,30.000,true,0.554
0.214,3000.000,230.388,376.103,60.000,367,0.004,0.000,30.000,true,0.554
0.242,3000.000,284.609,381.247,80.000,369,0.008,0.000,30.000,true,0.554
0.266,3000.000,331.822,386.469,80.000,371,0.017,0.000,30.000,true,0.554
0.293,3000.000,382.586,392.943,120.000,374,0.029,0.000,30.000,true,0.554
0.319,3000.000,431.053,399.907,160.000,378,0.046,0.000,30.000,true,0.554
0.349,3000.000,483.218,408.310,240.000,385,0.075,0.000,30.000,true,1.603
0.388,3000.000,557.137,422.037,300.000,392,0.109,0.000,30.000,true,1.603
0.248,-2000.000,522.153,431.171,380.000,401,0.142,0.000,30.000,true,1.603
0.231,-2000.000,487.213,439.682,480.000,410,0.179,0.000,30.000,true,1.603
0.210,-2000.000,447.926,448.481,540.000,424,0.242,0.000,30.000,true,1.603
0.187,-2000.000,403.874,457.377,580.000,434,0.280,0.000,30.000,true,1.603
0.166,-2000.000,370.922,463.488,560.000,445,0.330,0.000,30.000,true,0.342
0.143,-2000.000,325.484,470.883,520.000,454,0.367,0.000,30.000,true,0.342
0.123,-2000.000,289.722,476.064,500.000,462,0.405,0.000,30.000,true,0.342
0.103,-2000.000,253.192,480.688,480.000,470,0.430,0.000,30.000,true,0.342
0.087,-2000.000,220.268,484.314,420.000,475,0.455,0.000,30.000,true,0.342
0.068,-2000.000,183.695,487.673,340.000,481,0.476,0.000,30.000,true,0.342
0.051,-2000.000,150.715,490.159,280.000,485,0.497,0.000,30.000,true,0.029
0.028,0.000,0.000,492.461,220.000,488,0.509,0.000,30.000,true,0.029
0.000,-2408.423,200.000,490.000,180.000,491,0.518,0.000,30.000,true,0.029
0.000,-2785.682,140.000,492.000,120.000,492,0.522,0.000,30.000,true,0.029
