time,power,aref,vref,xref,v_current,x_current_ticks,x_current_rads,pos1,pos2,to_pos_2,current,count,at_target
26.819,0.000,0.000,-0.000,621.000,-0.000,621,1.060,-60.000,60.000,true,0.003,10,true
26.835,0.000,0.000,-0.000,621.000,-0.000,621,1.060,-60.000,60.000,true,0.003,10,true
26.849,0.000,0.000,-0.000,621.000,-0.000,621,1.060,-60.000,60.000,true,0.003,10,true
26.869,0.000,0.000,-0.000,621.000,-0.000,621,1.060,-60.000,60.000,true,0.003,10,true
26.883,0.000,0.000,-0.000,621.000,-0.000,621,1.060,-60.000,60.000,true,0.003,10,true
26.899,0.000,0.000,-0.000,621.000,-0.000,621,1.060,-60.000,60.000,true,0.003,10,true
26.913,0.000,0.000,-0.000,621.000,-0.000,621,1.060,-60.000,60.000,true,0.003,10,true
26.928,0.000,0.000,-0.000,621.000,-0.000,621,1.060,-60.000,60.000,true,0.003,10,true
26.944,0.000,0.000,-0.000,621.000,-0.000,621,1.060,-60.000,60.000,true,0.003,10,true
26.960,0.000,0.000,-0.000,621.000,-0.000,621,1.060,-60.000,60.000,true,0.003,10,true
26.984,0.000,0.000,-0.000,621.000,-0.000,621,1.060,-60.000,60.000,false,0.003,11,true
27.009,-0.136,-3000.000,-88.924,618.364,-0.000,621,1.060,-60.000,60.000,false,0.003,11,false
27.026,-0.162,-3000.000,-142.178,615.840,-0.000,621,1.060,-60.000,60.000,false,0.003,11,false
27.042,-0.188,-3000.000,-194.459,612.451,-0.000,621,1.060,-60.000,60.000,false,0.003,11,false
27.059,-0.214,-3000.000,-246.327,608.193,-0.000,621,1.060,-60.000,60.000,false,0.003,11,false
27.076,-0.237,-3000.000,-293.005,603.634,-40.000,619,1.048,-60.000,60.000,false,0.003,11,false
27.096,-0.264,-3000.000,-343.232,597.887,-80.000,617,1.043,-60.000,60.000,false,1.093,11,false
27.112,-0.294,-3000.000,-401.421,590.101,-100.000,615,1.035,-60.000,60.000,false,1.093,11,false
