"Rank","Team Number","Team Name","RS","TBP","Played","np AVG","np OPR","np MAX","Awards","Playoff Performance","Finals Performance"
"1","22389","AE86","4.25","195","8","195","114.512508226705","307","Finalist 1st; DivisionFinalist 1st (Rumeli)","M-3 W; M-7 L; M-9 W; M-10 L","None"
"2","32300","Automatrons","4.125","187.625","8","187.625","98.335686172715","290","Control 1st; Winner 1st; DivisionWinner 1st (Rumeli); Finalist 1st","M-4 W; M-7 W; M-10 W","M-1 L; M-1.2 L"
"3","25590","RoboRangers","4","241.625","8","241.625","155.061284790497","317","Inspire 2nd","M-2 W; M-4 L; M-6 L","None"
"4","24033","Alphatronic","3.75","240","8","240","166.517611682258","322","Inspire 3rd; Finalist 2nd; DivisionFinalist 2nd (Rumeli)","M-3 W; M-7 L; M-9 W; M-10 L","None"
"5","29382","Flying Penguins","3.75","190.375","8","190.375","109.511142722045","251","Think 1st","M-2 W; M-4 L","None"
"6","19044","Peppers","3.625","231.625","8","231.625","135.504284038907","368","Sustain 1st","M-1 W; M-3 L","None"
"7","17517","WoEN: ULT - Workshop of Eternal Nonsense: Unprecedented Luminous Thing","3.5","158","8","158","82.9284357657679","222","Innovate 1st","None","None"
"8","20042","Time Walk","3.5","143.375","8","143.375","49.1986422251664","210","Connect 1st","None","None"
"9","29613","Joyful Robotics","3.375","195.25","8","195.25","133.565251738051","290","None","M-1 L; M-6 W; M-8 L","None"
"10","19054","NeuroBotix","3.375","194.375","8","194.375","103.571704237049","290","Design 1st","M-5 L","None"
"11","24276","Mountain Rocket","3.375","171.5","8","171.5","80.2921020763653","266","Winner 3rd; DivisionWinner 3rd (Rumeli); Finalist 3rd","None","None"
"12","23778","Itkan ICQC","3.25","192.375","8","192.375","106.554942297181","266","None","M-1 W; M-3 L; M-5 L","None"
"13","32717","ThunderBolts","3.25","187.75","8","187.75","104.055413122621","266","None","None","None"
"14","26706","Thunder Lab","3","179.875","8","179.875","92.5647638636436","251","Innovate 2nd","None","None"
"15","28575","X_FACTOR ROBOTICS","3","169.25","8","169.25","100.141903974541","262","None","M-6 L","None"
"16","28898","Techtops","2.875","197.5","8","197.5","131.940690824197","290","None","M-1 L; M-6 W; M-8 L","None"
"17","26438","CROWN","2.875","143.75","8","143.75","99.1385013136666","206","Control 2nd","None","None"
"18","23372","deepbot.robotics","2.75","131.75","8","131.75","44.7422997155033","199","None","None","None"
"19","19082","RoboAS","2.5","187.625","8","187.625","127.481707742452","317","Design 2nd","M-2 L; M-5 W; M-8 W; M-9 L","None"
"20","19141","BraveBots","2.375","209.125","8","209.125","148.527078892374","368","Inspire 1st; Winner 2nd; DivisionWinner 2nd (Rumeli); Finalist 2nd","M-4 W; M-7 W; M-10 W","M-1 L; M-1.2 L"
"21","26695","The Originals","2.25","108.125","8","108.125","18.8589005601478","188","None","None","None"
"22","32760","VIS Mars","2.25","91.25","8","91.25","25.8474280587971","186","None","None","None"
"23","28743","Jr. AG Robotik","2.125","152.875","8","152.875","49.8422769156675","236","None","None","None"
"24","19061","Boogeybots","1.875","165.25","8","165.25","85.0607129109906","240","Sustain 2nd","M-2 L; M-5 W; M-8 W; M-9 L","None"
"25","28490","ThunderBolts","1.875","147.25","8","147.25","68.9647046886754","192","Reach 1st","None","None"
"26","24230","AG Robotik","1.875","139","8","139","57.3693949311501","178","None","None","None"
"27","24527","Ragnarok","1.875","125.875","8","125.875","60.6085726162594","188","Connect 2nd","None","None"
"28","17955","Astrovo","1.875","107.375","8","107.375","16.6247735387446","196","Think 2nd","None","None"
"29","25475","Techno Storm","1.625","142.25","8","142.25","52.7468999016441","223","None","None","None"
"30","23098","PLANCK TEAM","1.5","124.75","8","124.75","49.7373234549256","215","None","None","None"
"31","34030","OmarRobotics","1.375","100.375","8","100.375","18.7407537317396","187","None","None","None"
"32","24140","Lavender Robotics","1.25","93.75","8","93.75","18.3507558548651","163","Finalist 3rd; DivisionFinalist 3rd (Rumeli)","None","None"
"33","13906","Epiteugma Revved Up 1","1.125","145.5","8","145.5","72.2892219134179","182","Reach 2nd","None","None"
"34","33650","Tulpar FTC","1.125","97.25","8","97.25","23.833483031377","190","None","None","None"
"35","34097","DELTA","1","95.25","8","95.25","31.4110741069337","185","None","None","None"
"36","34237","DEADLY","0.625","98.875","8","98.875","34.2475434385882","158","None","None","None"
"37","23018","CIS-Nexus","0.375","107","8","107","26.1952249243747","183","JudgesChoice 1st","None","None"
