"Rank","Team Number","Team Name","RS","TBP","Played","np AVG","np OPR","np MAX","Awards","Playoff Performance","Finals Performance"
"1","15993","infO(1)Robotics","4.75","275.125","8","275.125","199.463798173932","363","Think 1st; Winner 1st; DivisionWinner 1st (Valens)","M-3 W; M-7 W; M-10 W","M-1 W; M-1.2 W"
"2","25720","Fatal Nemesis","4.125","195.875","8","195.875","145.243536921363","242","Design 1st; Winner 2nd; DivisionWinner 2nd (Valens)","M-3 W; M-7 W; M-10 W","M-1 W; M-1.2 W"
"3","19859","Reflection","4","203.875","8","203.875","124.4805900048","300","Innovate 2nd; Finalist 1st; DivisionFinalist 1st (Valens)","M-4 W; M-7 L; M-9 W; M-10 L","None"
"4","25070","Talos EduRobots","4","188.5","8","188.5","91.3471486975797","278","None","M-2 W; M-4 L; M-6 L","None"
"5","19666","Forever Knight","3.875","211.75","8","211.75","140.129887648721","294","Finalist 2nd; DivisionFinalist 2nd (Valens)","M-4 W; M-7 L; M-9 W; M-10 L","None"
"6","19683","Rizzler","3.5","215.25","8","215.25","138.245336403677","294","None","M-1 W; M-3 L; M-5 L","None"
"7","14278","Xeo","3.5","207.375","8","207.375","119.386900491017","290","Inspire 1st","M-1 L; M-6 W; M-8 L","None"
"8","23270","Sounder Bots","3.5","202.5","8","202.5","110.736376276428","292","Sustain 1st","M-2 L; M-5 W; M-8 W; M-9 L","None"
"9","19084","Zenith","3.5","197.75","8","197.75","116.131724322666","247","Inspire 2nd","M-2 L","None"
"10","22586","CNapSys","3.5","196.125","8","196.125","126.450256871048","279","Control 1st","M-1 W; M-3 L; M-5 L","None"
"11","19152","Brainstorms","3.375","189.625","8","189.625","108.351899930464","300","None","M-5 W; M-8 W; M-9 L","None"
"12","25482","SIRIUS","3.375","188.25","8","188.25","112.538319125101","363","Reach 1st","M-1 L; M-6 W; M-8 L","None"
"13","25163","NoktaParantez","3.125","106.125","8","106.125","32.4821730760415","191","None","None","None"
"14","25039","Golden Horn Jr","3","164.875","8","164.875","95.1040161842839","237","Finalist 3rd; DivisionFinalist 3rd (Valens)","None","None"
"15","24032","Kodikas Robotics","3","119.625","8","119.625","23.9008623049206","167","Design 2nd","None","None"
"16","33333","WoEN: AiR - Workshop of Eternal Nonsense: Aperture In Reasons","2.875","163.375","8","163.375","68.6515581303522","231","Innovate 1st","None","None"
"17","28080","VegaTech","2.875","143.875","8","143.875","45.5898204001648","253","Control 2nd","None","None"
"18","19001","SYRE","2.75","187.125","8","187.125","79.5393631214056","326","None","None","None"
"19","28378","Epiteugma Revved Up Jr 2","2.75","156.875","8","156.875","82.8853117786002","243","None","None","None"
"20","25225","Afton Robotics","2.625","145.625","8","145.625","82.1714283181173","188","None","None","None"
"21","12524","Sputnik Original","2.625","139.5","8","139.5","55.9655068051257","242","Inspire 3rd","None","None"
"22","26075","Vampire Robotics","2.375","167.125","8","167.125","70.874231441029","274","Connect 2nd","M-2 W; M-4 L; M-6 L","None"
"23","28831","Orbit","2.125","171.5","8","171.5","101.845788175279","247","Winner 3rd; DivisionWinner 3rd (Valens)","None","None"
"24","33624","STRIKE","2.125","153.5","8","153.5","85.8614804467499","220","Sustain 2nd","None","None"
"25","26523","Pandurata","2.125","90.5","8","90.5","17.0304730398021","191","None","None","None"
"26","32881","Epiteugma Gladiators 2","2","140.625","8","140.625","54.2011830120627","161","None","None","None"
"27","28419","GearLine","2","137","8","137","63.5923947043776","168","None","None","None"
"28","28735","Robotek team","2","121.125","8","121.125","43.573184121537","215","JudgesChoice 1st","None","None"
"29","33422","Sirius","1.875","138.125","8","138.125","73.5535847834133","275","Reach 2nd","None","None"
"30","28675","BrainPower","1.875","113.75","8","113.75","46.5842526452229","175","None","None","None"
"31","28552","3andi Blasti","1.75","117.5","8","117.5","22.2508241919319","269","None","None","None"
"32","28788","Rabyte","1.625","96.5","8","96.5","41.8320038886614","206","None","None","None"
"33","31570","Stark Robotics","1.5","93.625","8","93.625","34.7990758492097","137","None","None","None"
"34","21552","Astrobots","1.25","117","8","117","63.8384601218679","188","Connect 1st","None","None"
"35","34010","GoulmimaTeam","1.125","107.125","8","107.125","33.0575915358411","168","None","None","None"
"36","21539","Imagineers","1","106.5","8","106.5","14.6926835082282","167","Think 2nd","None","None"
"37","15242","STEAMachine","0.875","81.75","8","81.75","9.74197354898064","175","None","None","None"
