team,team_name,location,performance_metrics,social_and_awards,scouting_summary
15993,infO(1)Robotics,"Ploiești, Romania",Rank: 9 | Record: 7W-3L-0T | OPR: 221.5 (No-Penalty OPR: 217.2) | Auto OPR: 41.4 | DC OPR: 175.8,"Socials: Instagram: @info1robotics, Youtube: infO(1) Robotics, Website: info1robotics.ro | Awards: Romania Championship Winners; World Record holder; Behind the Bot features","infO(1)Robotics is a world-class powerhouse team with a spectacular performance record. Competing with a top-ranked OPR of 221.5 (including a massive 175.8 driver-controlled OPR and 41.4 autonomous OPR), they have proven their ability to build incredibly fast, precise, and reliable robots. They have a massive social media footprint, actively sharing aftermovies, CAD designs, and podcasts on YouTube and Instagram. Their technical documentation and open-source contributions make them an exemplary team. As a scout's top pick, they would lead any alliance to victory with their lethal teleop scoring and consistent autonomous cycles."
19666,Forever Knight,"Shanghai, China",Rank: 5 | Record: 4W-2L-0T | OPR: 154.5 (No-Penalty OPR: 135.9) | Auto OPR: 38.8 | DC OPR: 97.1,Socials: Website: ftc19666.org | Awards: China National Championship Winner; Inspire Awards; Control Awards,"Forever Knight is one of the premier FTC teams from China, affiliated with the Shanghai Vanke Bilingual School. They possess a high OPR of 154.5 and a very strong autonomous score of 38.8. They are the creators of CycleZLab, a widely respected platform for open-source robotics collaboration. Their design style is CAD-first with advanced CNC custom machining and computer vision. They are an elite, highly professional team with a history of deep community impact and world-class play, making them an excellent first-pick alliance partner."
19683,Porcupine fish Robotics,"Shanghai, China",Rank: 8 | Record: 3W-2L-0T | OPR: 125.0 (No-Penalty OPR: 125.6) | Auto OPR: 28.2 | DC OPR: 97.4,Socials: No social media found | Awards: Sustain Award; Winning Alliance Captain,"Porcupine fish Robotics is a highly competitive Chinese team with a solid rookie year in 2021. They have an OPR of 125.0, featuring a strong driver-controlled score of 97.4 and a reliable 28.2 auto. They recently captained the Winning Alliance at the 2025 Hangzhou Qualifier, showing strong on-field strategy and leadership. Their focus on structural durability and clean robot design is highlighted by their receipt of the Sustain Award, making them a very dependable alliance partner."
19859,Reflection,"Shanghai, China",Rank: 3 | Record: 4W-1L-0T | OPR: 153.8 (No-Penalty OPR: 124.6) | Auto OPR: 23.1 | DC OPR: 101.4,Socials: Youtube: Reveal and playoff videos | Awards: Finalist Alliance Captain (China Championship Bisheng Div); Inspire Award 2nd Place,"Reflection is a seasoned Chinese team with a strong OPR of 153.8, powered by a remarkable driver-controlled rating of 101.4. Their technical prowess is reflected in their robot reveal videos on YouTube, displaying quick intake systems and highly optimized scoring cycles. As a Finalist Alliance Captain at the China Championship, they have proven their high-pressure match play capabilities. They would fit perfectly in an alliance that needs a high-scoring teleop partner."
22586,CNapSys,"Zalău, Romania",Rank: 7 | Record: 7W-1L-0T | OPR: 143.2 (No-Penalty OPR: 123.9) | Auto OPR: 32.0 | DC OPR: 91.9,Socials: Instagram: @cnapsys_ftc | Awards: Romania North League Tournament participations,"CNapSys represents Colegiul Național Silvania from Zalău, Romania. With an OPR of 143.2 (32.0 Auto, 91.9 Driver-Controlled), they represent a highly balanced team with a strong competitive record in the Romania North League. They have active social media presence on Instagram under @cnapsys_ftc where they share their outreach and development phases. They are a reliable team that can perform consistent autonomous runs and contribute significantly to teleop scoring."
28831,Orbit,"Dubai, United Arab Emirates",Rank: 3 | Record: 3W-2L-0T | OPR: 113.6 (No-Penalty OPR: 115.9) | Auto OPR: 36.4 | DC OPR: 79.4,Socials: Instagram: @orbit_ftc | Awards: UAE Regional Championship awards,"Orbit is a competitive team based in Dubai, UAE. Having debuted in 2024, they have quickly risen to prominence with a solid OPR of 113.6 and an impressive auto OPR of 36.4. Their high autonomous performance makes them an excellent partner for teams that want to dominate the early phase of the match. They maintain an active Instagram presence where they share their build updates and robot designs, showing a highly motivated and collaborative team spirit."
25720,Che You Che Xing,"Shanghai, China",Rank: 6 | Record: 5W-1L-0T | OPR: 137.1 (No-Penalty OPR: 113.1) | Auto OPR: 25.8 | DC OPR: 87.3,Socials: No social media found | Awards: China qualifier awards,"Representing the Harrow International School Shanghai, Che You Che Xing (Harrow Car Friends) has built a strong robot for the current season, achieving a high OPR of 137.1 (25.8 Auto, 87.3 Driver-Controlled). They are a competitive team that focuses on clean assembly and robust mechanism design. While their public social media presence is limited, their statistics show that they are a highly capable and efficient scoring robot on the field."
14278,Xeo,"Alba Iulia, Romania",Rank: 16 | Record: 4W-2L-0T | OPR: 121.7 (No-Penalty OPR: 109.6) | Auto OPR: 25.3 | DC OPR: 84.2,"Socials: Instagram: @teamxeo, Youtube: Xeo Romania | Awards: Romania Championship Awards; Think/Connect Awards","Xeo is one of Romania's most veteran teams, active since 2017. Based at National Highschool 'Horea, Closca si Crisan,' they bring a wealth of experience to the field, with an OPR of 121.7 and an auto OPR of 25.3. They maintain a highly professional social presence on Instagram and YouTube, sharing their technical insights, robot breakdowns, and community outreach. Their long history in the program translates to exceptional driver skill and robust engineering, making them a highly stable and valuable alliance selection."
23270,Sounder Bots,"Sammamish, Washington, USA",Rank: 13 | Record: 3W-3L-0T | OPR: 124.4 (No-Penalty OPR: 106.7) | Auto OPR: 27.3 | DC OPR: 79.4,"Socials: Website: sounderbots.com, Instagram: @sounderbots, Youtube: Sounder Bots | Awards: Inspire Awards; Connect/Control Awards; FIRST Leadership Award","Sounder Bots is a highly distinguished US team that rookie-debuted in 2023. They have an OPR of 124.4 and a strong auto of 27.3. They are exceptionally well-known in the global FTC community for developing the 'FTC Decode Scouting' mobile app, which is widely used by teams for match scouting. They also host the Sammamish Tech Fest and participate in extensive outreach. With their data-driven match strategies, professional website, and solid robot performance, they are a premier alliance choice that brings both technical capability and scouting intelligence."
19152,Brainstorms,"Zalău, Romania",Rank: 30 | Record: 3W-3L-0T | OPR: 131.7 (No-Penalty OPR: 105.5) | Auto OPR: 29.1 | DC OPR: 76.3,Socials: Instagram: @brainstorms_salaj | Awards: Winning Alliance Captain (Romania North League); Maramu' Robotics Festival Awards,"Brainstorms is an active Romanian team competing since 2020. They have a competitive OPR of 131.7, backed by a strong driver-controlled score of 76.3 and a reliable 29.1 autonomous OPR. They have a proven track record of on-field leadership, having captained a Winning Alliance at the Romania North League tournament. They are highly active on Instagram, showing detailed robot progress and outreach activities. They are an excellent pick for any alliance looking for a strong, reliable scorer."
