2025 İstanbul Premier Event - Valens Division Preview

team,totalPointsNpOpr,autoPointsOpr,dcPointsOpr,penaltyPointsCommittedOpr,penaltyPointsByOppOpr,totalPointsOpr,eventRecord,event,played,wins,losses,ties,eventRank,rankingScore,tb1,tb2,totalPointsAvg,totalPointsNpAvg,autoPointsAvg,dcPointsAvg,penaltyPointsCommittedAvg,penaltyPointsByOppAvg
15993,217.24976512333944,41.42383776140872,175.82592736193078,38.004111863963274,4.2176969091591126,221.46746203249862,0.7,"2026-04-29",10,7,3,0,9,3.7,337.8,13.5,348.3,337.8,73.1,264.7,47.5,10.5
19666,135.90093676981135,38.82590032789322,97.07503644191824,9.759293598732935,18.566759923829974,154.46769669364141,0.6666666666666666,"2026-01-02",6,4,2,0,5,4.666666666666667,244.16666666666666,15.833333333333334,274.1666666666667,244.16666666666666,61.5,182.66666666666666,30.833333333333332,30
19683,125.62056240327053,28.235922549138998,97.38463985413156,5.175722203374032,-0.6157512062988201,125.00481119697179,0.6,"2026-05-30",5,3,2,0,8,4.4,232.4,15,243.4,232.4,54.2,178.2,20,11
19859,124.5745453528876,23.13835638677653,101.43618896611113,-7.207942035520187,29.23129970250149,153.80584505538914,0.8,"2026-05-30",5,4,1,0,3,4.8,243.4,19,285.4,243.4,50.6,192.8,6,42
22586,123.91386997300063,32.010791992478325,91.90307798052233,23.34965381230501,19.32711356657374,143.24098353957442,0.875,"2026-06-09",8,7,1,0,7,3.875,184.125,15.625,212.875,184.125,49.5,134.625,33.125,28.75
28831,115.85092162656544,36.44612299899342,79.404798627572,19.750773884902202,-2.2412762065568974,113.60964542000853,0.6,"2026-05-02",5,3,2,0,3,3,161.6,13,172.6,161.6,47,114.6,36,11
25720,113.08990291060739,25.837557746622835,87.2523451639845,27.313460532317066,23.96839982114238,137.05830273174973,0.8333333333333334,"2025-12-20",6,5,1,0,6,4.5,169,15,199,169,42.166666666666664,126.83333333333333,41.666666666666664,30
14278,109.55247300465484,25.33591555102938,84.21655745362551,16.2226600133667,12.15388228325492,121.70635528790979,0.6666666666666666,"2026-03-13",6,4,2,0,16,3.6666666666666665,222.33333333333334,12.5,247.33333333333334,222.33333333333334,58,164.33333333333334,31.666666666666668,25
23270,106.655554801985,27.28105087447439,79.3745039275106,21.920008577165127,17.78547219970445,124.44102700168945,0.5,"2026-01-31",6,3,3,0,13,3,215.83333333333334,13.333333333333334,241.66666666666666,215.83333333333334,59.333333333333336,156.5,34.166666666666664,25.833333333333332
19152,105.45712664884043,29.11734451354458,76.33978213529585,34.135317559303154,26.281064418025448,131.73819106686582,0.5,"2026-03-13",6,3,3,0,30,2.6666666666666665,186,14.166666666666666,220.16666666666666,186,53.333333333333336,132.66666666666666,40.833333333333336,34.166666666666664
25225,98.67450428280608,37.94452994683658,60.72997433596947,6.195968779285019,3.3189855943316213,101.99348987713766,0.3333333333333333,"2026-02-07",6,2,4,0,12,3.1666666666666665,144.83333333333334,16.666666666666668,161.5,144.83333333333334,49,95.83333333333333,13.333333333333334,16.666666666666668
25039,97.87512824101653,19.93800704230976,77.9371211987068,-8.296993904095162,8.392867385642191,106.2679956266587,1,"2025-11-09",5,5,0,0,1,4.8,121.2,16,144.2,121.2,26.4,94.8,3,23
12524,89.58444421957624,25.73770749584251,63.84673672373375,-12.564856173436315,39.12316015972983,128.70760437930608,1,"2026-04-29",5,5,0,0,2,4.8,130.2,12,170.2,130.2,39.8,90.4,7,40
26075,84.89543129567147,24.04372341848505,60.85170787718641,2.413364071284975,11.628914490063568,96.52434578573502,0.8333333333333334,"2026-01-31",6,5,1,0,4,4.833333333333333,186.66666666666666,15,211.66666666666666,186.66666666666666,47.166666666666664,139.5,11.666666666666666,25
19084,82.9166666666666,24.12499999999998,58.7916666666666,3.749999999999993,18.333333333333318,101.2499999999999,0.8333333333333334,"2026-03-07",6,5,1,0,2,4.166666666666667,155.16666666666666,18.333333333333332,185.16666666666666,155.16666666666666,40,115.16666666666667,16.666666666666668,30
28675,82.23846883217841,10.483585103844336,71.75488372833406,-4.17719088138622,57.502023103816114,139.74049193599444,1,"2026-02-21",6,6,0,0,1,3.8333333333333335,98.83333333333333,14.166666666666666,163,98.83333333333333,15.5,83.33333333333333,11.666666666666666,64.16666666666667
19001,78.32618902263171,22.91585704637502,55.41033197625667,5.879900674431804,0.21451278665577989,78.54070180928747,0.5,"2026-02-20",6,3,3,0,13,1.6666666666666667,115,9.166666666666666,125.83333333333333,115,30.333333333333332,84.66666666666667,15,10.833333333333334
33333,77.33844469753465,14.354059120698704,62.98438557683595,8.577181765175059,15.325337536546547,92.66378223408121,0.8333333333333334,"2026-02-07",6,5,1,0,2,4,119,10,138.16666666666666,119,21,98,13.333333333333334,19.166666666666668
28419,73.69224299728154,27.689830271682656,46.00241272559885,25.533279316052973,0.24105920058686348,73.93330219786839,0.8,"2026-04-29",5,4,1,0,3,4.4,135,14,156,135,39.6,95.4,34,21
32881,72.48127734983085,22.32792430434931,50.15335304548151,-5.549303882698516,3.7954024520394283,76.27667980187026,1,"2026-03-07",5,5,0,0,4,3.2,99.6,11,110.6,99.6,28.8,70.8,2,11
21539,67.85564592528708,22.15648339644407,45.699162528843004,0.4957878987708533,20.673813786367564,88.52945971165465,1,"2026-03-05",8,8,0,0,3,4,130.625,9.375,166.875,130.625,39.125,91.5,15,36.25
25482,67.4574119066599,16.51535285878305,50.942059047876825,-5.716256376269062,15.057946351501764,82.51535825816164,1,"2026-02-21",6,6,0,0,5,3,88.83333333333333,7.5,111.33333333333333,88.83333333333333,20.833333333333332,68,10,22.5
28378,66.54742094075287,21.932687296181935,44.614733644570926,1.9256469443682556,1.290671947354022,67.83809288810689,1,"2026-03-07",5,5,0,0,3,3.2,109.2,10,117.2,109.2,31,78.2,13,8
21552,63.552400341635035,29.78705088898696,33.76534945264808,34.75013817568326,25.864667330007663,89.4170676716427,0.625,"2026-03-05",8,5,3,0,13,2.25,96.75,7.5,139.25,96.75,36.75,60,48.75,42.5
28080,59.7900346772321,12.382819874661593,47.40721480257052,-1.249701678020338,10.545609561390801,70.33564423862289,0.75,"2026-03-05",8,6,2,0,9,2.875,90.375,10.625,109.75,90.375,18.75,71.625,10.625,19.375
33624,55.794154236446424,27.503918006043524,28.290236230402893,4.92073707445916,-4.24910731599011,51.54504692045631,0.6666666666666666,"2026-01-12",6,4,2,0,8,2.5,92.16666666666667,10.833333333333334,101.33333333333333,92.16666666666667,34.166666666666664,58,17.5,9.166666666666666
25070,52.38810180429736,12.086247965359158,40.30185383893821,1.441580583375325,6.795470764889345,59.18357256918671,1,"2026-03-14",5,5,0,0,3,3.4,90,11,106,90,23.8,66.2,15,16
24032,51.697953030302344,12.164325926749092,39.53362710355325,14.991869730335388,9.22597054051515,60.92392357081748,0.5,"2026-01-31",6,3,3,0,5,2.5,87.16666666666667,13.333333333333334,106.33333333333333,87.16666666666667,21.166666666666668,66,17.5,19.166666666666668
15242,38.18322862349618,2.4693899057824966,35.713838717713685,2.554847770179098,10.967263462354799,49.15049208585096,0.8333333333333334,"2026-02-07",6,5,1,0,5,3,73,10,88,73,10.666666666666666,62.333333333333336,10.833333333333334,15
26523,36.84480170678048,4.680432285733215,32.16436942104725,-3.3048077982636253,10.21422284609461,47.0590245528751,0.6666666666666666,"2026-02-07",6,4,2,0,4,3.1666666666666665,81.16666666666667,11.666666666666666,99.5,81.16666666666667,10.5,70.66666666666667,5.833333333333333,18.333333333333332
25163,36.51304555438826,3.4524687231400817,33.06057683124818,9.834999310264344,5.222057746792729,41.73510330118098,0.3333333333333333,"2026-02-07",6,2,4,0,6,1.3333333333333333,66.5,9.166666666666666,79.83333333333333,66.5,12,54.5,17.5,13.333333333333334
31570,31.747222222222177,7.772222222222206,23.97499999999996,10.527777777777779,-5.916666666666682,25.8305555555555,0.4,"2026-03-14",5,2,3,0,4,1.8,84.2,14,90.2,84.2,21.2,63,12,6
34010,25.71067982456144,5.959846491228081,19.750833333333357,4.2075657894736835,7.48388157894737,33.19456140350881,0.6,"2026-02-15",5,3,2,0,2,1.8,37.4,11,48.4,37.4,9.6,27.8,10,11
28735,20.831613712906186,-1.9712479122939968,22.80286162520018,4.930977172770636,-6.92671428294585,13.90489942996033,0.8,"2026-03-14",5,4,1,0,8,2.6,61.4,12,82.4,61.4,7.8,53.6,11,21
28552,17.32807017543859,1.2614035087719224,16.066666666666666,13.973684210526333,0.9473684210526403,18.275438596491234,0.4,"2026-02-15",5,2,3,0,6,1.6,31,16,37,31,4.2,26.8,18,6
28788,12.080555555555542,-1.0277777777777812,13.108333333333318,12.527777777777777,2.083333333333327,14.163888888888867,0.2,"2026-03-14",5,1,4,0,7,1,59.8,14,67.8,59.8,11.4,48.4,20,8
